candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,natural_risk_points,risk_points,max_sl,stop_was_capped,exit_ts,final_exit_price,tp1_hit,tp2_hit,tp3_hit,stopped,closed_eod,contract_points,mnq_profit_dollars,largest_open_adverse_points,result
58,true,"",2026-02-17T04:00:00.000000,2026-02-17T07:55:00.000000,bear,NQH6,24663.75,24739.0,24701.375,75.25,24663.75,24739.0,75.25,75.25,100,false,2026-02-17T09:00:00.000000,24663.75,true,false,false,true,false,25.0,50.0,-63.0,tp1_partial_or_be
59,true,"",2026-02-18T08:00:00.000000,2026-02-18T13:47:00.000000,bull,NQH6,24798.75,24833.5,24816.125,34.75,24833.5,24798.75,34.75,34.75,100,false,2026-02-18T14:30:00.000000,24798.75,false,false,false,true,false,-104.25,-208.5,-81.5,stop
61,true,"",2026-02-23T04:00:00.000000,2026-02-23T07:16:00.000000,bear,NQH6,24914.75,24936.5,24925.625,21.75,24914.75,24936.5,21.75,21.75,100,false,2026-02-23T08:48:00.000000,24914.75,true,false,false,true,false,25.0,50.0,-5.25,tp1_partial_or_be
60,true,"",2026-02-23T00:00:00.000000,2026-02-23T09:08:00.000000,bear,NQH6,24971.0,25014.25,24992.625,43.25,24971.0,25014.25,43.25,43.25,100,false,2026-02-23T10:26:00.000000,24971.0,true,false,false,true,false,25.0,50.0,-33.0,tp1_partial_or_be
62,true,"",2026-02-23T16:00:00.000000,2026-02-23T18:23:00.000000,bear,NQH6,24820.25,24877.5,24848.875,57.25,24820.25,24877.5,57.25,57.25,100,false,2026-02-23T18:55:00.000000,24745.25,true,true,true,false,false,150.0,300.0,0.0,tp3
63,true,"",2026-02-24T16:00:00.000000,2026-02-24T16:34:00.000000,bull,NQH6,24865.5,24969.25,24917.375,103.75,24969.25,24869.25,103.75,100.0,100,true,2026-02-24T17:07:00.000000,25044.25,true,true,true,false,false,150.0,300.0,0.0,tp3
64,true,"",2026-02-25T12:00:00.000000,2026-02-25T12:13:00.000000,bull,NQH6,25067.75,25105.0,25086.375,37.25,25105.0,25067.75,37.25,37.25,100,false,2026-02-25T14:30:00.000000,25180.0,true,true,true,false,false,150.0,300.0,0.0,tp3
65,true,"",2026-02-25T16:00:00.000000,2026-02-25T16:17:00.000000,bull,NQH6,25128.5,25282.75,25205.625,154.25,25282.75,25182.75,154.25,100.0,100,true,2026-02-25T18:01:00.000000,25357.75,true,true,true,false,false,150.0,300.0,0.0,tp3
66,true,"",2026-02-26T08:00:00.000000,2026-02-26T08:47:00.000000,bull,NQH6,25341.5,25343.25,25342.375,1.75,25343.25,25341.5,1.75,1.75,100,false,2026-02-26T14:28:00.000000,25343.25,true,true,false,true,false,75.0,150.0,-1.0,tp2_partial_or_eod
67,true,"",2026-02-26T16:00:00.000000,2026-02-26T19:55:00.000000,bear,NQH6,25099.0,25343.25,25221.125,244.25,25099.0,25199.0,244.25,100.0,100,true,2026-02-26T20:23:00.000000,25024.0,true,true,true,false,false,150.0,300.0,0.0,tp3
68,true,"",2026-03-01T20:00:00.000000,2026-03-01T23:12:00.000000,bear,NQH6,24815.0,24873.0,24844.0,58.0,24815.0,24873.0,58.0,58.0,100,false,2026-03-01T23:31:00.000000,24740.0,true,true,true,false,false,150.0,300.0,0.0,tp3
69,true,"",2026-03-02T16:00:00.000000,2026-03-02T16:28:00.000000,bull,NQH6,24729.0,24852.0,24790.5,123.0,24852.0,24752.0,123.0,100.0,100,true,2026-03-02T16:36:00.000000,24927.0,true,true,true,false,false,150.0,300.0,0.0,tp3
70,true,"",2026-03-03T04:00:00.000000,2026-03-03T04:01:00.000000,bear,NQH6,24864.0,24944.25,24904.125,80.25,24864.0,24944.25,80.25,80.25,100,false,2026-03-03T04:48:00.000000,24789.0,true,true,true,false,false,150.0,300.0,0.0,tp3
71,true,"",2026-03-03T08:00:00.000000,2026-03-03T08:10:00.000000,bear,NQH6,24694.5,24804.25,24749.375,109.75,24694.5,24794.5,109.75,100.0,100,true,2026-03-03T08:25:00.000000,24619.5,true,true,true,false,false,150.0,300.0,0.0,tp3
72,true,"",2026-03-03T12:00:00.000000,2026-03-03T14:39:00.000000,bear,NQH6,24661.25,24668.5,24664.875,7.25,24661.25,24668.5,7.25,7.25,100,false,2026-03-03T14:42:00.000000,24586.25,true,true,true,false,false,150.0,300.0,0.0,tp3
73,true,"",2026-03-03T20:00:00.000000,2026-03-03T23:06:00.000000,bull,NQH6,24661.25,24669.75,24665.5,8.5,24669.75,24661.25,8.5,8.5,100,false,2026-03-03T23:13:00.000000,24744.75,true,true,true,false,false,150.0,300.0,0.0,tp3
74,true,"",2026-03-04T12:00:00.000000,2026-03-04T12:31:00.000000,bull,NQH6,24677.75,24720.5,24699.125,42.75,24720.5,24677.75,42.75,42.75,100,false,2026-03-04T12:58:00.000000,24795.5,true,true,true,false,false,150.0,300.0,0.0,tp3
75,true,"",2026-03-04T16:00:00.000000,2026-03-04T16:24:00.000000,bull,NQH6,24895.0,25051.0,24973.0,156.0,25051.0,24951.0,156.0,100.0,100,true,2026-03-04T16:33:00.000000,25126.0,true,true,true,false,false,150.0,300.0,0.0,tp3
76,true,"",2026-03-06T04:00:00.000000,2026-03-06T07:13:00.000000,bull,NQH6,25070.0,25091.75,25080.875,21.75,25091.75,25070.0,21.75,21.75,100,false,2026-03-06T08:10:00.000000,25091.75,true,false,false,true,false,25.0,50.0,-3.5,tp1_partial_or_be
77,true,"",2026-03-06T12:00:00.000000,2026-03-06T13:30:00.000000,bear,NQH6,24908.75,25091.75,25000.25,183.0,24908.75,25008.75,183.0,100.0,100,true,2026-03-06T13:33:00.000000,24833.75,true,true,true,false,false,150.0,300.0,0.0,tp3
78,true,"",2026-03-08T20:00:00.000000,2026-03-08T22:00:00.000000,bear,NQH6,24473.0,24744.25,24608.625,271.25,24473.0,24573.0,271.25,100.0,100,true,2026-03-08T22:03:00.000000,24398.0,true,true,true,false,false,150.0,300.0,0.0,tp3
79,true,"",2026-03-09T00:00:00.000000,2026-03-09T00:05:00.000000,bear,NQH6,24238.75,24601.0,24419.875,362.25,24238.75,24338.75,362.25,100.0,100,true,2026-03-09T00:19:00.000000,24163.75,true,true,true,false,false,150.0,300.0,0.0,tp3
80,true,"",2026-03-09T16:00:00.000000,2026-03-09T17:43:00.000000,bull,NQH6,24495.75,24575.75,24535.75,80.0,24575.75,24495.75,80.0,80.0,100,false,2026-03-09T18:14:00.000000,24650.75,true,true,true,false,false,150.0,300.0,0.0,tp3
81,true,"",2026-03-09T20:00:00.000000,2026-03-09T23:52:00.000000,bull,NQH6,24659.25,24858.0,24758.625,198.75,24858.0,24758.0,198.75,100.0,100,true,2026-03-10T00:07:00.000000,24858.0,true,false,false,true,false,25.0,50.0,-4.75,tp1_partial_or_be
82,true,"",2026-03-12T00:00:00.000000,2026-03-12T01:43:00.000000,bear,NQH6,24842.25,24873.5,24857.875,31.25,24842.25,24873.5,31.25,31.25,100,false,2026-03-12T02:21:00.000000,24767.25,true,true,true,false,false,150.0,300.0,0.0,tp3
83,true,"",2026-03-12T16:00:00.000000,2026-03-12T16:22:00.000000,bear,NQH6,24735.25,24813.0,24774.125,77.75,24735.25,24813.0,77.75,77.75,100,false,2026-03-12T16:26:00.000000,24660.25,true,true,true,false,false,150.0,300.0,0.0,tp3
