setup_family,direction,trade_date,year,month,hour_ct,minute_ct,signal_ts,entry_ts,vwap_aligned,directional_v_reversal,directional_displacement,has_liq_sweep,body_lt_60,rel_vol_ge_1_25,risk_le_20,body_pct,rel_vol_20,dist_vwap,atr_14,entry,stop,risk_points,mfe_points,mae_points,tp1_hit,tp2_hit,tp3_hit,scaleout_r,fixed_1R,fixed_1_5R,fixed_2R,ifvg_score,ifvg_grade,combo
ifvg_strict,long,2018-02-08,2018,2,8,6,2018-02-08T08:05:00.000000,2018-02-08T08:06:00.000000,true,true,false,true,true,false,true,0.47368421052631576,0.3819533452960779,44.38599267653535,4.464285714285714,6610.25,6606.25,4.0,4.5,-0.25,true,false,false,0.333,1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-09,2018,2,8,6,2018-02-09T08:05:00.000000,2018-02-09T08:06:00.000000,true,true,false,true,true,false,true,0.26666666666666666,0.6772053083528493,27.352044375341393,6.75,6369.875,6362.5,7.375,16.875,-0.125,true,true,true,1.5,1.0,1.5,2.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,short,2018-02-12,2018,2,8,21,2018-02-12T08:05:00.000000,2018-02-12T08:21:00.000000,true,true,true,true,true,false,true,0.5652173913043478,0.5806747762221712,-0.33033172302748426,6.107142857142857,6463.5,6475.75,12.25,2.5,-13.25,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|DISP|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-13,2018,2,10,7,2018-02-13T10:06:00.000000,2018-02-13T10:07:00.000000,true,true,false,true,true,false,true,0.0625,0.6703910614525139,5.731940506316278,5.678571428571429,6514.5,6509.5,5.0,9.5,0.0,true,true,false,1.167,1.0,1.5,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-14,2018,2,10,12,2018-02-14T10:11:00.000000,2018-02-14T10:12:00.000000,true,true,false,true,true,false,true,0.16129032258064516,0.823449046761473,46.92133447222295,6.535714285714286,6606.25,6601.25,5.0,11.5,-0.25,true,true,true,1.5,1.0,1.5,2.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,long,2018-02-15,2018,2,8,30,2018-02-15T08:29:00.000000,2018-02-15T08:30:00.000000,true,true,false,true,false,true,true,0.7291666666666666,7.286475765464236,7.087066541083914,3.4285714285714284,6737.125,6732.25,4.875,0.0,-18.625,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|RVOL|RISK20|
ifvg_strict,long,2018-02-15,2018,2,10,36,2018-02-15T10:35:00.000000,2018-02-15T10:36:00.000000,true,true,false,true,true,false,true,0.3870967741935484,0.6910634208840487,9.187248995984191,5.928571428571429,6729.75,6721.0,8.75,10.5,-1.0,true,false,false,0.333,1.0,-1.0,-1.0,8,A+,VWAP|VREV|LIQ|BODY_LT60|RISK20|
ifvg_strict,short,2018-02-19,2018,2,8,33,2018-02-19T08:32:00.000000,2018-02-19T08:33:00.000000,true,true,true,false,true,true,true,0.1111111111111111,1.422872340425532,-6.125243968273935,1.625,6801.75,6807.5,5.75,12.5,0.0,true,true,true,1.5,1.0,1.5,2.0,9,A+,VWAP|VREV|DISP|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-02-19,2018,2,11,8,2018-02-19T10:47:00.000000,2018-02-19T11:08:00.000000,false,true,true,true,true,true,true,0.5,2.7484472049689437,-9.193272897844508,1.4821428571428572,6784.125,6779.0,5.125,0.0,-5.625,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VREV|DISP|LIQ|BODY_LT60|RVOL|RISK20|
ifvg_strict,long,2018-02-21,2018,2,8,27,2018-02-21T08:24:00.000000,2018-02-21T08:27:00.000000,true,false,false,true,true,true,true,0.2,1.4496472097498396,19.792423553682966,2.017857142857143,6817.625,6813.25,4.375,1.625,-7.625,false,false,false,-1.0,-1.0,-1.0,-1.0,8,A+,VWAP|LIQ|BODY_LT60|RVOL|RISK20|
