tier,conditions,entry_model,target_model,mbp_overlay,trades,winrate,profit_factor,net_points,avg_trade
A+,large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,272,0.6985,2.317,2160.0,7.94
A+,large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,272,0.6985,2.317,2160.0,7.94
A+,below_vwap,10pt_pullback,20pt_target,NO_MBP_FILTER,287,0.6934,2.427,2340.0,8.15
A+,below_vwap,10pt_pullback,20pt_target,NO_MBP_FILTER,287,0.6934,2.427,2340.0,8.15
A+,below_vwap,10pt_pullback,20pt_target,NO_MBP_FILTER,287,0.6934,2.427,2340.0,8.15
A+,below_vwap,10pt_pullback,20pt_target,NO_MBP_FILTER,287,0.6934,2.427,2340.0,8.15
A+,below_vwap,10pt_pullback,20pt_target,tight_spread,278,0.6906,2.4,2240.0,8.06
A+,below_vwap,10pt_pullback,20pt_target,tight_spread,278,0.6906,2.4,2240.0,8.06
A+,below_vwap,10pt_pullback,20pt_target,tight_spread,278,0.6906,2.4,2240.0,8.06
A+,below_vwap,10pt_pullback,20pt_target,tight_spread,278,0.6906,2.4,2240.0,8.06
A+,large_premarket & green_bar,10pt_pullback,20pt_target,tight_spread,248,0.6815,2.139,1800.0,7.26
A+,large_premarket & green_bar,10pt_pullback,20pt_target,tight_spread,248,0.6815,2.139,1800.0,7.26
A+,low_volatility,10pt_pullback,25pt_target,NO_MBP_FILTER,152,0.6776,2.799,1655.0,10.89
A+,low_volatility,10pt_pullback,25pt_target,tight_spread,152,0.6776,2.799,1655.0,10.89
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,170,0.6706,2.073,1180.0,6.94
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,NO_MBP_FILTER,170,0.6706,2.073,1180.0,6.94
A+,large_premarket & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,265,0.6679,2.011,1780.0,6.72
A+,large_premarket & green_bar,10pt_pullback,20pt_target,NO_MBP_FILTER,265,0.6679,2.011,1780.0,6.72
A+,green_bar,10pt_pullback,25pt_target,positive_mid_pressure,15,0.6667,2.5,150.0,10.0
A+,large_premarket & green_bar,10pt_pullback,25pt_target,positive_mid_pressure,15,0.6667,2.5,150.0,10.0
A+,large_premarket & green_bar,10pt_pullback,25pt_target,positive_mid_pressure,15,0.6667,2.5,150.0,10.0
A+,large_premarket & green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,large_premarket & green_bar,10pt_pullback,20pt_target,positive_mid_pressure,15,0.6667,2.0,100.0,6.67
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,tight_spread,161,0.6646,2.019,1080.0,6.71
A+,below_vwap & large_premarket,10pt_pullback,20pt_target,tight_spread,161,0.6646,2.019,1080.0,6.71
A+,green_bar,10pt_pullback,25pt_target,tight_spread,424,0.6604,2.482,4180.0,9.86
A+,CORE_ONLY,10pt_pullback,25pt_target,tight_spread,434,0.6567,2.44,4205.0,9.69
A+,green_bar,10pt_pullback,25pt_target,NO_MBP_FILTER,441,0.6531,2.4,4200.0,9.52
A+,CORE_ONLY,10pt_pullback,25pt_target,NO_MBP_FILTER,452,0.6527,2.394,4295.0,9.5
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,large_premarket,15pt_pullback,20pt_target,tight_spread,254,0.5787,1.374,800.0,3.15
B,below_vwap & large_premarket,10pt_pullback,25pt_target,tight_spread,161,0.5776,1.735,985.0,6.12
B,large_premarket & green_bar,10pt_pullback,30pt_target,tight_spread,248,0.5766,2.062,2210.0,8.91
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,5pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,5pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket & green_bar,15pt_pullback,20pt_target,NO_MBP_FILTER,265,0.5736,1.345,780.0,2.94
B,large_premarket,10pt_pullback,30pt_target,tight_spread,254,0.5709,2.014,2190.0,8.62
B,large_premarket,10pt_pullback,30pt_target,NO_MBP_FILTER,272,0.5699,2.004,2330.0,8.57
B,large_premarket & green_bar,10pt_pullback,30pt_target,NO_MBP_FILTER,265,0.5698,2.004,2270.0,8.57
B,green_bar,15pt_pullback,25pt_target,tight_spread,424,0.5684,1.692,2465.0,5.81
B,green_bar,5pt_pullback,25pt_target,tight_spread,424,0.5684,1.692,2465.0,5.81
B,green_bar,5pt_pullback,25pt_target,tight_spread,424,0.5684,1.692,2465.0,5.81
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,large_premarket,15pt_pullback,20pt_target,NO_MBP_FILTER,272,0.5662,1.305,720.0,2.65
B,CORE_ONLY,10pt_pullback,30pt_target,positive_quote_pressure,16,0.5625,1.929,130.0,8.12
B,large_premarket,10pt_pullback,30pt_target,positive_quote_pressure,16,0.5625,1.929,130.0,8.12
B,CORE_ONLY,10pt_pullback,25pt_target,positive_quote_pressure,16,0.5625,1.607,85.0,5.31
B,large_premarket,10pt_pullback,25pt_target,positive_quote_pressure,16,0.5625,1.607,85.0,5.31
B,green_bar,5pt_pullback,25pt_target,NO_MBP_FILTER,441,0.5624,1.649,2440.0,5.53
B,green_bar,15pt_pullback,25pt_target,NO_MBP_FILTER,441,0.5624,1.649,2440.0,5.53
B,green_bar,5pt_pullback,25pt_target,NO_MBP_FILTER,441,0.5624,1.649,2440.0,5.53
B,below_vwap & green_bar,10pt_pullback,25pt_target,tight_spread,265,0.5585,1.796,1640.0,6.19
B,below_vwap,5pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,15pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,15pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,15pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,5pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,15pt_pullback,20pt_target,tight_spread,278,0.5576,1.348,800.0,2.88
B,below_vwap,5pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap,15pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap,5pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap,15pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap,15pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap,15pt_pullback,20pt_target,NO_MBP_FILTER,287,0.5575,1.345,820.0,2.86
B,below_vwap & green_bar,10pt_pullback,25pt_target,NO_MBP_FILTER,273,0.5568,1.776,1660.0,6.08
B,CORE_ONLY,5pt_pullback,25pt_target,tight_spread,434,0.5461,1.535,2065.0,4.76
