model,month,trades,winrate,net_points,avg_trade
VWAP_EMA20_ALIGN,2020-07,21,0.8095,271.25,12.92
VWAP_EMA20_ALIGN,2020-08,18,0.6111,68.5,3.81
VWAP_EMA20_ALIGN,2020-09,14,0.5714,23.75,1.7
VWAP_EMA20_ALIGN,2020-10,19,0.5263,20.0,1.05
VWAP_EMA20_ALIGN,2020-11,14,0.9286,240.0,17.14
VWAP_EMA20_ALIGN,2020-12,18,0.7222,160.0,8.89
VWAP_EMA20_ALIGN,2021-01,15,0.6667,112.0,7.47
VWAP_EMA20_ALIGN,2021-02,16,0.5,0.0,0.0
VWAP_EMA20_ALIGN,2021-03,14,0.5714,40.0,2.86
VWAP_EMA20_ALIGN,2021-04,20,0.5,12.25,0.61
VWAP_EMA20_ALIGN,2021-05,16,0.625,80.0,5.0
VWAP_EMA20_ALIGN,2021-06,20,0.6,72.75,3.64
VWAP_EMA20_ALIGN,2021-07,21,0.6667,148.5,7.07
VWAP_EMA20_ALIGN,2021-08,18,0.5,1.5,0.08
VWAP_EMA20_ALIGN,2021-09,18,0.7222,160.0,8.89
VWAP_EMA20_ALIGN,2021-10,17,0.5882,56.75,3.34
VWAP_EMA20_ALIGN,2021-11,17,0.5294,15.25,0.9
VWAP_EMA20_ALIGN,2021-12,13,0.8462,180.0,13.85
VWAP_EMA20_ALIGN,2022-01,6,0.8333,80.0,13.33
VWAP_EMA20_ALIGN,2022-02,5,0.8,60.0,12.0
VWAP_EMA20_ALIGN,2022-03,14,0.7143,120.0,8.57
VWAP_EMA20_ALIGN,2022-04,13,0.7692,140.0,10.77
VWAP_EMA20_ALIGN,2022-05,14,0.6429,80.0,5.71
VWAP_EMA20_ALIGN,2022-06,14,0.7143,120.0,8.57
VWAP_EMA20_ALIGN,2022-07,17,0.7647,180.0,10.59
VWAP_EMA20_ALIGN,2022-08,17,0.5882,60.0,3.53
VWAP_EMA20_ALIGN,2022-09,14,0.7143,120.0,8.57
VWAP_EMA20_ALIGN,2022-10,14,0.7857,160.0,11.43
VWAP_EMA20_ALIGN,2022-11,16,0.75,160.0,10.0
VWAP_EMA20_ALIGN,2022-12,10,0.7,80.0,8.0
VWAP_EMA20_ALIGN,2023-01,13,0.6923,100.0,7.69
VWAP_EMA20_ALIGN,2023-02,15,0.7333,140.0,9.33
VWAP_EMA20_ALIGN,2023-03,19,0.7368,180.0,9.47
VWAP_EMA20_ALIGN,2023-04,16,0.5625,40.0,2.5
VWAP_EMA20_ALIGN,2023-05,20,0.6,89.75,4.49
VWAP_EMA20_ALIGN,2023-06,19,0.6316,100.0,5.26
VWAP_EMA20_ALIGN,2023-07,18,0.4444,-22.25,-1.24
VWAP_EMA20_ALIGN,2023-08,21,0.6667,140.0,6.67
VWAP_EMA20_ALIGN,2023-09,18,0.7222,174.75,9.71
VWAP_EMA20_ALIGN,2023-10,20,0.7,148.5,7.42
VWAP_EMA20_ALIGN,2023-11,18,0.4444,-40.0,-2.22
VWAP_EMA20_ALIGN,2023-12,20,0.7,174.25,8.71
VWAP_EMA20_ALIGN,2024-01,18,0.7222,141.75,7.88
VWAP_EMA20_ALIGN,2024-02,15,0.4667,-2.0,-0.13
VWAP_EMA20_ALIGN,2024-03,18,0.6111,80.0,4.44
VWAP_EMA20_ALIGN,2024-04,18,0.5556,40.0,2.22
VWAP_EMA20_ALIGN,2024-05,19,0.4211,-60.0,-3.16
VWAP_EMA20_ALIGN,2024-06,15,0.6,50.75,3.38
VWAP_EMA20_ALIGN,2024-07,19,0.5789,60.0,3.16
VWAP_EMA20_ALIGN,2024-08,8,0.5,0.0,0.0
VWAP_EMA20_ALIGN,2024-09,13,0.6154,60.0,4.62
VWAP_EMA20_ALIGN,2024-10,16,0.8125,200.0,12.5
VWAP_EMA20_ALIGN,2024-11,13,0.5385,35.0,2.69
VWAP_EMA20_ALIGN,2024-12,9,0.6667,60.0,6.67
VWAP_EMA20_ALIGN,2025-01,6,0.6667,40.0,6.67
VWAP_EMA20_ALIGN,2025-02,10,0.5,0.0,0.0
VWAP_EMA20_ALIGN,2025-03,10,0.6,23.75,2.38
VWAP_EMA20_ALIGN,2025-04,11,0.6364,60.0,5.45
VWAP_EMA20_ALIGN,2025-05,18,0.5556,40.0,2.22
VWAP_EMA20_ALIGN,2025-06,14,0.6429,80.0,5.71
VWAP_EMA20_ALIGN,2025-07,19,0.5263,20.0,1.05
VWAP_EMA20_ALIGN,2025-08,15,0.5333,20.0,1.33
VWAP_EMA20_ALIGN,2025-09,14,0.6429,80.0,5.71
VWAP_EMA20_ALIGN,2025-10,17,0.5294,20.0,1.18
VWAP_EMA20_ALIGN,2025-11,2,0.5,0.0,0.0
VWAP_EMA20_ALIGN,2025-12,9,0.5556,20.0,2.22
VWAP_EMA20_ALIGN,2026-01,5,0.8,60.0,12.0
VWAP_EMA20_ALIGN,2026-02,1,0.0,-20.0,-20.0
VWAP_EMA20_ALIGN,2026-03,6,1.0,120.0,20.0
VWAP_EMA20_ALIGN,2026-04,10,0.7,80.0,8.0
VWAP_EMA20_ALIGN,2026-05,2,0.5,0.0,0.0
