conditions,trades,expectancy_score,robustness_score,win_10,win_20,win_30,win_40,avg_15m,avg_30m,avg_60m,med_30m,std_30m
small_or & large_lower_wick & tight_spread & high_rel_vol,31,0.18338709677419354,1.5483870967741935,0.3548387096774194,0.1935483870967742,0.25806451612903225,0.22580645161290322,-13.92741935483871,3.056451612903226,-0.6451612903225806,8.0,58.09484736465516
large_or & displacement & tight_spread,62,0.1782258064516129,15.354838709677418,0.5645161290322581,0.5483870967741935,0.45161290322580644,0.3870967741935484,16.919354838709676,0.5241935483870968,-15.108870967741936,6.625,198.8965446423101
back_inside_or & large_or & displacement & tight_spread,62,0.1782258064516129,15.354838709677418,0.5645161290322581,0.5483870967741935,0.45161290322580644,0.3870967741935484,16.919354838709676,0.5241935483870968,-15.108870967741936,6.625,198.8965446423101
large_or & expansion_bar & displacement & tight_spread,62,0.1782258064516129,15.354838709677418,0.5645161290322581,0.5483870967741935,0.45161290322580644,0.3870967741935484,16.919354838709676,0.5241935483870968,-15.108870967741936,6.625,198.8965446423101
back_inside_or & large_or & expansion_bar & displacement & tight_spread,62,0.1782258064516129,15.354838709677418,0.5645161290322581,0.5483870967741935,0.45161290322580644,0.3870967741935484,16.919354838709676,0.5241935483870968,-15.108870967741936,6.625,198.8965446423101
above_vwap & strong_body & displacement & tight_spread,52,0.17264423076923077,6.942307692307691,0.40384615384615385,0.36538461538461536,0.36538461538461536,0.28846153846153844,-5.908653846153846,0.9086538461538461,-13.807692307692308,1.125,87.80188858634423
above_vwap & back_inside_or & strong_body & displacement & tight_spread,52,0.17264423076923077,6.942307692307691,0.40384615384615385,0.36538461538461536,0.36538461538461536,0.28846153846153844,-5.908653846153846,0.9086538461538461,-13.807692307692308,1.125,87.80188858634423
above_vwap & strong_body & expansion_bar & displacement & tight_spread,52,0.17264423076923077,6.942307692307691,0.40384615384615385,0.36538461538461536,0.36538461538461536,0.28846153846153844,-5.908653846153846,0.9086538461538461,-13.807692307692308,1.125,87.80188858634423
back_inside_or & small_or & green_bar & expansion_bar & high_volatility,41,0.1597560975609756,1.9512195121951221,0.36585365853658536,0.24390243902439024,0.1951219512195122,0.1951219512195122,-2.731707317073171,1.5975609756097562,-1.4634146341463414,5.5,43.7258103858858
large_lower_wick & bull_fvg & tight_spread,33,0.15613636363636363,2.7272727272727275,0.42424242424242425,0.2727272727272727,0.30303030303030304,0.30303030303030304,-6.787878787878788,1.7348484848484849,-7.106060606060606,-0.75,139.1937995233896
