model,trade_date,entry_time,direction,pnl_points,rolling_50_net,rolling_50_wr
PROD_STACK_STRICT,2020-05-15,2020-05-15 09:02:00,SHORT,20.0,199.25,0.62
PROD_STACK_STRICT,2020-05-19,2020-05-19 09:18:00,LONG,-20.0,159.25,0.6
PROD_STACK_STRICT,2020-05-20,2020-05-20 09:20:00,LONG,20.0,171.5,0.6
PROD_STACK_STRICT,2020-05-21,2020-05-21 09:30:00,SHORT,-20.0,142.75,0.58
PROD_STACK_STRICT,2020-05-22,2020-05-22 10:48:00,LONG,20.0,182.75,0.6
PROD_STACK_STRICT,2020-05-26,2020-05-26 10:39:00,SHORT,20.0,205.0,0.62
PROD_STACK_STRICT,2020-05-29,2020-05-29 11:00:00,LONG,20.0,205.0,0.62
PROD_STACK_STRICT,2020-06-01,2020-06-01 10:56:00,LONG,20.0,219.25,0.62
PROD_STACK_STRICT,2020-06-02,2020-06-02 09:03:00,SHORT,20.0,229.75,0.62
PROD_STACK_STRICT,2020-06-03,2020-06-03 10:07:00,SHORT,20.0,245.5,0.62
PROD_STACK_STRICT,2020-06-09,2020-06-09 09:05:00,LONG,-20.0,236.5,0.62
PROD_STACK_STRICT,2020-06-18,2020-06-18 09:16:00,LONG,-20.0,196.5,0.6
PROD_STACK_STRICT,2020-06-19,2020-06-19 09:47:00,SHORT,20.0,207.25,0.6
PROD_STACK_STRICT,2020-06-22,2020-06-22 09:52:00,LONG,20.0,246.25,0.62
PROD_STACK_STRICT,2020-06-23,2020-06-23 09:17:00,LONG,20.0,262.25,0.62
PROD_STACK_STRICT,2020-06-24,2020-06-24 09:08:00,SHORT,20.0,262.25,0.62
PROD_STACK_STRICT,2020-06-25,2020-06-25 09:02:00,SHORT,20.0,282.5,0.64
PROD_STACK_STRICT,2020-07-01,2020-07-01 09:58:00,LONG,20.0,308.25,0.66
PROD_STACK_STRICT,2020-07-02,2020-07-02 09:03:00,SHORT,20.0,341.75,0.68
PROD_STACK_STRICT,2020-07-07,2020-07-07 10:49:00,SHORT,20.0,381.75,0.7
PROD_STACK_STRICT,2020-07-08,2020-07-08 09:14:00,SHORT,20.0,381.75,0.7
PROD_STACK_STRICT,2020-07-10,2020-07-10 09:48:00,LONG,-20.0,352.5,0.68
PROD_STACK_STRICT,2020-07-13,2020-07-13 11:00:00,SHORT,-20.0,312.5,0.66
PROD_STACK_STRICT,2020-07-20,2020-07-20 09:17:00,LONG,20.0,312.5,0.66
PROD_STACK_STRICT,2020-07-21,2020-07-21 11:20:00,SHORT,-17.25,275.25,0.64
PROD_STACK_STRICT,2020-07-22,2020-07-22 09:16:00,SHORT,-20.0,235.25,0.62
PROD_STACK_STRICT,2020-07-23,2020-07-23 09:53:00,SHORT,20.0,242.75,0.62
PROD_STACK_STRICT,2020-07-27,2020-07-27 09:19:00,SHORT,20.0,242.75,0.62
PROD_STACK_STRICT,2020-07-28,2020-07-28 11:21:00,LONG,3.25,226.0,0.62
PROD_STACK_STRICT,2020-07-29,2020-07-29 10:22:00,SHORT,-8.75,237.25,0.62
PROD_STACK_STRICT,2020-07-30,2020-07-30 09:12:00,LONG,20.0,277.25,0.64
PROD_STACK_STRICT,2020-07-31,2020-07-31 10:44:00,SHORT,20.0,317.25,0.66
PROD_STACK_STRICT,2020-08-04,2020-08-04 09:02:00,SHORT,20.0,357.25,0.68
PROD_STACK_STRICT,2020-08-07,2020-08-07 09:33:00,SHORT,20.0,357.25,0.68
PROD_STACK_STRICT,2020-08-13,2020-08-13 11:03:00,LONG,-20.0,317.25,0.66
PROD_STACK_STRICT,2020-08-14,2020-08-14 11:03:00,LONG,15.75,353.0,0.68
PROD_STACK_STRICT,2020-08-19,2020-08-19 09:01:00,LONG,-20.0,353.0,0.68
PROD_STACK_STRICT,2020-08-25,2020-08-25 09:31:00,LONG,-20.0,353.0,0.68
PROD_STACK_STRICT,2020-08-28,2020-08-28 11:25:00,SHORT,12.25,345.25,0.68
PROD_STACK_STRICT,2020-08-31,2020-08-31 09:08:00,LONG,-20.0,345.25,0.68
PROD_STACK_STRICT,2020-09-02,2020-09-02 09:10:00,SHORT,20.0,385.25,0.7
PROD_STACK_STRICT,2020-09-07,2020-09-07 09:38:00,LONG,-20.0,345.25,0.68
PROD_STACK_STRICT,2020-09-15,2020-09-15 09:45:00,LONG,20.0,345.25,0.68
PROD_STACK_STRICT,2020-09-16,2020-09-16 11:27:00,SHORT,3.75,369.0,0.7
PROD_STACK_STRICT,2020-09-23,2020-09-23 10:43:00,SHORT,20.0,369.0,0.7
PROD_STACK_STRICT,2020-09-25,2020-09-25 09:42:00,LONG,-20.0,329.0,0.68
PROD_STACK_STRICT,2020-09-28,2020-09-28 10:17:00,SHORT,-20.0,289.0,0.66
PROD_STACK_STRICT,2020-10-01,2020-10-01 11:00:00,LONG,20.0,289.0,0.66
PROD_STACK_STRICT,2020-10-05,2020-10-05 10:12:00,LONG,-7.5,261.5,0.64
PROD_STACK_STRICT,2020-10-07,2020-10-07 09:53:00,LONG,20.0,301.5,0.66
PROD_STACK_STRICT,2020-10-09,2020-10-09 09:41:00,LONG,20.0,301.5,0.66
PROD_STACK_STRICT,2020-10-13,2020-10-13 09:47:00,LONG,20.0,341.5,0.68
PROD_STACK_STRICT,2020-10-14,2020-10-14 09:46:00,SHORT,20.0,341.5,0.68
