conditions,trades,expectancy_score,sequence_score,win_15m,win_30m,win_60m,avg_15m,avg_30m,avg_60m,med_30m,std_30m
back_inside_or -> above_vwap -> green_bar -> next_tight_spread -> next_green_bar -> two_bar_followthrough,98,12.541607142857144,8.226468138275719,0.47959183673469385,0.41836734693877553,0.41836734693877553,15.119897959183673,30.589285714285715,24.364795918367346,20.75,131.4533660107911
below_vwap -> tight_spread -> green_bar -> strong_body,194,12.515515463917525,15.084493569986185,0.4639175257731959,0.3917525773195876,0.42783505154639173,18.52061855670103,16.46778350515464,17.233247422680414,13.625,126.5657017964484
below_vwap -> red_bar -> next_green_bar -> two_bar_followthrough,92,12.477880434782609,7.353969754253307,0.42391304347826086,0.45652173913043476,0.41304347826086957,16.369565217391305,29.70923913043478,27.692934782608695,16.125,91.75764091588059
back_inside_or -> large_or -> green_bar -> strong_body -> two_bar_followthrough,62,12.4325,9.193548387096774,0.6129032258064516,0.5,0.4838709677419355,51.403225806451616,40.104838709677416,36.225806451612904,30.125,179.64728961141512
back_inside_or -> above_vwap -> next_tight_spread -> two_bar_followthrough,173,12.411026011560693,11.43506298239166,0.4624277456647399,0.3988439306358382,0.3583815028901734,11.634393063583815,17.98699421965318,13.245664739884393,18.25,121.13879840134645
above_vwap -> next_tight_spread -> next_green_bar -> two_bar_followthrough,122,12.39795081967213,9.359580757860789,0.4672131147540984,0.4262295081967213,0.38524590163934425,14.180327868852459,23.8422131147541,17.825819672131146,19.875,130.2139418879706
back_inside_or -> above_vwap -> next_tight_spread -> next_green_bar -> two_bar_followthrough,122,12.39795081967213,9.359580757860789,0.4672131147540984,0.4262295081967213,0.38524590163934425,14.180327868852459,23.8422131147541,17.825819672131146,19.875,130.2139418879706
back_inside_or -> above_vwap -> green_bar -> next_tight_spread -> two_bar_followthrough,144,12.39453125,9.906828703703702,0.4722222222222222,0.3958333333333333,0.3680555555555556,10.614583333333334,21.744791666666668,14.397569444444445,17.375,122.42426825877928
above_vwap -> large_or -> tight_spread -> two_bar_followthrough,66,12.375946969696969,10.871212121212121,0.6212121212121212,0.5303030303030303,0.5,23.87121212121212,35.359848484848484,30.34469696969697,34.75,157.27516387130527
back_inside_or -> above_vwap -> large_or -> tight_spread -> two_bar_followthrough,66,12.375946969696969,10.871212121212121,0.6212121212121212,0.5303030303030303,0.5,23.87121212121212,35.359848484848484,30.34469696969697,34.75,157.27516387130527
above_vwap -> large_or -> tight_spread -> next_tight_spread -> two_bar_followthrough,66,12.375946969696969,10.871212121212121,0.6212121212121212,0.5303030303030303,0.5,23.87121212121212,35.359848484848484,30.34469696969697,34.75,157.27516387130527
