date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2025-08-07,2025-08-07 10:19:00,23488.75,23504.25,23457.75,23504.25,loss,15.5,-15.5,-1.0,6.5,-16.5
2025-08-07,2025-08-07 10:38:00,23477.75,23497.5,23438.25,23438.25,win,19.75,39.5,2.0,52.75,-1.5
2025-08-07,2025-08-07 10:39:00,23468.25,23480.25,23444.25,23444.25,win,12.0,24.0,2.0,24.25,-4.75
2025-08-07,2025-08-07 10:41:00,23445.75,23469.0,23399.25,23399.25,win,23.25,46.5,2.0,55.75,-5.75
2025-08-07,2025-08-07 10:42:00,23425.5,23452.5,23371.5,23452.5,loss,27.0,-27.0,-1.0,35.5,-33.0
2025-08-07,2025-08-07 10:44:00,23409.5,23436.5,23355.5,23436.5,loss,27.0,-27.0,-1.0,19.5,-37.75
2025-08-07,2025-08-07 11:00:00,23460.25,23481.5,23417.75,23481.5,loss,21.25,-21.25,-1.0,0.25,-27.75
2025-08-13,2025-08-13 08:32:00,23947.5,23969.5,23903.5,23969.5,loss,22.0,-22.0,-1.0,5.25,-25.75
2025-08-13,2025-08-13 08:46:00,23957.25,23970.0,23931.75,23970.0,loss,12.75,-12.75,-1.0,24.75,-12.75
2025-08-13,2025-08-13 08:47:00,23943.25,23959.75,23910.25,23959.75,loss,16.5,-16.5,-1.0,10.75,-18.5
2025-08-13,2025-08-13 08:48:00,23934.75,23950.0,23904.25,23950.0,loss,15.25,-15.25,-1.0,2.25,-27.0
2025-08-13,2025-08-13 09:03:00,23946.5,23959.25,23921.0,23921.0,win,12.75,25.5,2.0,30.5,-3.75
2025-08-13,2025-08-13 09:04:00,23937.25,23951.25,23909.25,23909.25,win,14.0,28.0,2.0,30.5,-7.75
2025-08-13,2025-08-13 09:07:00,23925.75,23946.0,23885.25,23946.0,loss,20.25,-20.25,-1.0,33.5,-23.0
2025-08-13,2025-08-13 09:51:00,23941.75,23952.0,23921.25,23921.25,win,10.25,20.5,2.0,20.75,-4.0
2025-08-13,2025-08-13 09:52:00,23934.75,23946.75,23910.75,23910.75,win,12.0,24.0,2.0,27.0,-5.25
2025-09-10,2025-09-10 09:31:00,23932.0,23948.0,23900.0,23948.0,loss,16.0,-16.0,-1.0,9.0,-17.25
2025-09-10,2025-09-10 09:33:00,23925.0,23935.75,23903.5,23935.75,loss,10.75,-10.75,-1.0,0.25,-11.0
2025-09-10,2025-09-10 10:15:00,23933.25,23941.25,23917.25,23917.25,win,8.0,16.0,2.0,20.25,-7.75
2025-09-10,2025-09-10 10:20:00,23919.75,23935.75,23887.75,23935.75,loss,16.0,-16.0,-1.0,22.5,-20.5
2025-09-10,2025-09-10 10:23:00,23909.5,23919.0,23890.5,23919.0,loss,9.5,-9.5,-1.0,5.0,-13.25
2025-09-10,2025-09-10 10:40:00,23914.25,23920.5,23901.75,23901.75,win,6.25,12.5,2.0,13.25,-3.75
2025-09-10,2025-09-10 10:41:00,23908.0,23916.0,23892.0,23916.0,loss,8.0,-8.0,-1.0,2.0,-10.0
2025-09-10,2025-09-10 10:45:00,23902.75,23911.25,23885.75,23911.25,loss,8.5,-8.5,-1.0,5.5,-12.0
2025-09-10,2025-09-10 10:57:00,23916.0,23927.5,23893.0,23927.5,loss,11.5,-11.5,-1.0,0.5,-14.25
2025-09-19,2025-09-19 08:51:00,24748.0,24761.0,24722.0,24761.0,loss,13.0,-13.0,-1.0,1.25,-30.25
2025-09-19,2025-09-19 08:56:00,24751.0,24766.75,24719.5,24766.75,loss,15.75,-15.75,-1.0,5.0,-19.0
2025-09-19,2025-09-19 09:31:00,24718.0,24728.25,24697.5,24728.25,loss,10.25,-10.25,-1.0,5.0,-11.0
2025-09-26,2025-09-26 08:46:00,24600.25,24636.75,24527.25,24602.0,loss,36.5,-1.75,-0.05,54.5,-36.25
2025-09-26,2025-09-26 08:50:00,24564.75,24593.75,24506.75,24593.75,loss,29.0,-29.0,-1.0,14.75,-30.5
2025-09-29,2025-09-29 09:53:00,24836.75,24848.5,24813.25,24848.5,loss,11.75,-11.75,-1.0,6.0,-18.0
2025-09-29,2025-09-29 10:04:00,24831.5,24842.25,24810.0,24842.25,loss,10.75,-10.75,-1.0,5.5,-14.5
2025-09-29,2025-09-29 10:18:00,24828.5,24854.25,24777.0,24854.25,loss,25.75,-25.75,-1.0,0.0,-26.5
2025-09-29,2025-09-29 10:52:00,24838.0,24847.25,24819.5,24819.5,win,9.25,18.5,2.0,23.75,-0.75
2025-09-29,2025-09-29 10:54:00,24829.25,24837.25,24813.25,24837.25,loss,8.0,-8.0,-1.0,7.25,-9.25
2025-09-30,2025-09-30 09:21:00,24794.25,24813.75,24755.25,24813.75,loss,19.5,-19.5,-1.0,38.75,-25.5
2025-10-02,2025-10-02 08:32:00,25070.5,25091.75,25028.0,25028.0,win,21.25,42.5,2.0,44.5,-18.5
2025-10-02,2025-10-02 08:41:00,25079.5,25090.0,25058.5,25058.5,win,10.5,21.0,2.0,25.5,-4.75
2025-10-02,2025-10-02 08:46:00,25053.5,25069.25,25022.0,25022.0,win,15.75,31.5,2.0,33.0,-3.25
2025-10-02,2025-10-02 08:47:00,25027.0,25055.0,24971.0,25055.0,loss,28.0,-28.0,-1.0,0.75,-29.75
2025-10-02,2025-10-02 08:51:00,25034.0,25053.0,24996.0,24996.0,win,19.0,38.0,2.0,40.25,-9.25
2025-10-02,2025-10-02 08:55:00,25022.75,25041.0,24986.25,25041.0,loss,18.25,-18.25,-1.0,29.0,-28.5
2025-10-02,2025-10-02 09:13:00,25024.0,25041.75,24988.5,25041.75,loss,17.75,-17.75,-1.0,1.75,-18.5
2025-10-02,2025-10-02 09:38:00,25005.5,25029.75,24957.0,25029.75,loss,24.25,-24.25,-1.0,0.0,-34.5
2025-10-02,2025-10-02 09:48:00,25018.0,25033.75,24986.5,25033.75,loss,15.75,-15.75,-1.0,1.5,-20.5
2025-10-02,2025-10-02 10:01:00,25068.75,25078.75,25048.75,25048.75,win,10.0,20.0,2.0,27.25,-6.5
2025-10-02,2025-10-02 10:05:00,25066.0,25076.25,25045.5,25045.5,win,10.25,20.5,2.0,24.5,-0.5
2025-10-02,2025-10-02 10:06:00,25054.5,25067.5,25028.5,25067.5,loss,13.0,-13.0,-1.0,10.5,-13.0
2025-10-07,2025-10-07 08:57:00,25181.0,25193.5,25156.0,25156.0,win,12.5,25.0,2.0,26.0,-10.5
2025-10-07,2025-10-07 09:02:00,25180.5,25191.25,25159.0,25159.0,win,10.75,21.5,2.0,25.5,-2.25
2025-10-07,2025-10-07 09:03:00,25172.0,25183.75,25148.5,25148.5,win,11.75,23.5,2.0,32.0,-2.0
2025-10-07,2025-10-07 09:04:00,25158.0,25175.0,25124.0,25124.0,win,17.0,34.0,2.0,44.5,-3.75
2025-10-07,2025-10-07 09:05:00,25144.25,25162.75,25107.25,25107.25,win,18.5,37.0,2.0,63.75,-3.0
2025-10-07,2025-10-07 09:06:00,25116.75,25148.25,25053.75,25053.75,win,31.5,63.0,2.0,63.75,-0.25
2025-10-07,2025-10-07 09:07:00,25089.75,25118.0,25033.25,25118.0,loss,28.25,-28.25,-1.0,36.75,-31.25
2025-10-13,2025-10-13 08:47:00,24814.25,24851.5,24739.75,24851.5,loss,37.25,-37.25,-1.0,70.25,-38.25
2025-10-13,2025-10-13 08:49:00,24805.5,24838.25,24740.0,24838.25,loss,32.75,-32.75,-1.0,61.5,-43.0
