date,entry_time,entry,stop,target,exit_price,outcome,risk_points,pnl_points,rr,mfe,mae
2023-01-23,2023-01-23 08:32:00,11686.7,11698.5,11663.1,11698.5,loss,11.8,-11.8,-1.0,11.95,-12.3
2023-01-24,2023-01-24 09:38:00,11876.15,11891.25,11845.95,11891.25,loss,15.1,-15.1,-1.0,12.65,-27.6
2023-01-26,2023-01-26 08:51:00,11982.8,12001.5,11945.4,12001.5,loss,18.7,-18.7,-1.0,19.8,-19.95
2023-01-26,2023-01-26 09:40:00,11980.8,11994.25,11953.9,11994.25,loss,13.45,-13.45,-1.0,17.3,-13.45
2023-02-01,2023-02-01 09:45:00,12126.0,12133.0,12112.0,12112.0,win,7.0,14.0,2.0,16.0,-5.25
2023-02-06,2023-02-06 08:38:00,12531.45,12544.0,12506.35,12544.0,loss,12.55,-12.55,-1.0,12.7,-14.55
2023-02-06,2023-02-06 08:54:00,12526.7,12542.25,12495.6,12542.25,loss,15.55,-15.55,-1.0,13.7,-25.05
2023-02-09,2023-02-09 10:04:00,12604.45,12618.5,12576.35,12618.5,loss,14.05,-14.05,-1.0,20.45,-17.55
2023-04-04,2023-04-04 08:41:00,13274.75,13283.25,13257.75,13283.25,loss,8.5,-8.5,-1.0,16.0,-9.5
2023-04-04,2023-04-04 08:59:00,13258.75,13265.0,13246.25,13265.0,loss,6.25,-6.25,-1.0,5.75,-9.75
2023-06-09,2023-06-09 10:02:00,14517.35,14529.0,14494.05,14529.0,loss,11.65,-11.65,-1.0,8.85,-16.15
2023-07-19,2023-07-19 10:32:00,15960.75,15970.75,15940.75,15970.75,loss,10.0,-10.0,-1.0,8.0,-20.0
2023-07-21,2023-07-21 09:35:00,15615.05,15621.75,15601.65,15621.75,loss,6.7,-6.7,-1.0,3.8,-6.7
2023-08-22,2023-08-22 09:53:00,14987.7,14998.0,14967.1,14967.1,win,10.3,20.6,2.0,20.95,-3.8
2023-08-28,2023-08-28 09:08:00,15019.85,15029.25,15001.05,15029.25,loss,9.4,-9.4,-1.0,15.85,-11.15
2023-10-27,2023-10-27 10:28:00,14326.25,14335.5,14307.75,14335.5,loss,9.25,-9.25,-1.0,9.25,-15.5
2023-11-15,2023-11-15 09:30:00,15942.45,15950.5,15926.35,15926.35,win,8.05,16.1,2.0,16.95,-1.8
2023-11-15,2023-11-15 10:37:00,15933.55,15941.0,15918.65,15918.65,win,7.45,14.9,2.0,20.55,-2.7
2024-01-29,2024-01-29 09:34:00,17539.95,17551.75,17516.35,17551.75,loss,11.8,-11.8,-1.0,9.7,-13.55
2024-06-03,2024-06-03 09:47:00,18601.15,18612.5,18578.45,18612.5,loss,11.35,-11.35,-1.0,8.4,-11.35
2024-07-09,2024-07-09 09:05:00,20701.5,20708.5,20687.5,20687.5,win,7.0,14.0,2.0,17.0,-6.25
2024-07-09,2024-07-09 10:27:00,20699.2,20704.25,20689.1,20689.1,win,5.05,10.1,2.0,11.2,-4.8
2024-10-04,2024-10-04 09:16:00,20105.75,20120.25,20076.75,20120.25,loss,14.5,-14.5,-1.0,10.5,-16.0
2024-10-17,2024-10-17 08:45:00,20408.1,20424.25,20375.8,20375.8,win,16.15,32.3,2.0,36.1,-10.65
2024-10-24,2024-10-24 09:24:00,20342.9,20352.75,20323.2,20352.75,loss,9.85,-9.85,-1.0,11.4,-10.1
2024-12-10,2024-12-10 10:11:00,21484.95,21495.25,21464.35,21495.25,loss,10.3,-10.3,-1.0,12.7,-14.05
2024-12-19,2024-12-19 09:25:00,21561.25,21591.5,21500.75,21500.75,win,30.25,60.5,2.0,64.25,-21.5
2025-01-14,2025-01-14 08:32:00,21034.9,21054.5,20995.7,21054.5,loss,19.6,-19.6,-1.0,16.15,-22.6
