candidate_number,take_trade,skip_reason,fvg_ts,entry_ts,direction,symbol,gap_low,gap_high,gap_mid,gap_width,entry_price,stop_price,risk_points
110,true,"",2026-04-07T04:00:00.000000,2026-04-07T04:50:00.000000,bear,NQM6,24264.0,24298.25,24281.125,34.25,24264.0,24298.25,34.25
112,true,"",2026-04-08T00:00:00.000000,2026-04-08T00:36:00.000000,bull,NQM6,24381.0,25007.75,24694.375,626.75,25007.75,24381.0,626.75
89,true,"",2026-03-18T12:00:00.000000,2026-04-08T04:05:00.000000,bear,NQM6,25119.0,25130.5,25124.75,11.5,25119.0,25130.5,11.5
114,true,"",2026-04-08T08:00:00.000000,2026-04-08T08:04:00.000000,bull,NQM6,25118.75,25134.25,25126.5,15.5,25134.25,25118.75,15.5
113,true,"",2026-04-08T04:00:00.000000,2026-04-08T13:41:00.000000,bull,NQM6,25086.0,25102.5,25094.25,16.5,25102.5,25086.0,16.5
115,true,"",2026-04-09T16:00:00.000000,2026-04-09T18:25:00.000000,bull,NQM6,25039.0,25145.0,25092.0,106.0,25145.0,25039.0,106.0
116,true,"",2026-04-12T20:00:00.000000,2026-04-12T22:12:00.000000,bear,NQM6,25019.25,25222.25,25120.75,203.0,25019.25,25222.25,203.0
117,true,"",2026-04-13T00:00:00.000000,2026-04-13T01:57:00.000000,bear,NQM6,25093.75,25276.75,25185.25,183.0,25093.75,25276.75,183.0
118,true,"",2026-04-13T04:00:00.000000,2026-04-13T04:04:00.000000,bull,NQM6,25019.25,25049.5,25034.375,30.25,25049.5,25019.25,30.25
119,true,"",2026-04-13T16:00:00.000000,2026-04-13T16:05:00.000000,bull,NQM6,25194.75,25282.5,25238.625,87.75,25282.5,25194.75,87.75
120,true,"",2026-04-13T20:00:00.000000,2026-04-13T20:03:00.000000,bull,NQM6,25360.75,25533.5,25447.125,172.75,25533.5,25360.75,172.75
