direction,trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,avg_risk,avg_mfe,avg_mae,median_mfe,median_mae,max_dd_r_1R,max_dd_r_1_5R,max_dd_r_2R,audit_group,fib,hour,risk_bucket,orb_range_bucket,body_pct_bucket,rel_vol_bucket,vwap_dist_bucket,liq_sweep_bucket,vwap_aligned,directional_displacement,directional_recent_fvg,directional_v_reversal
long,142,47.18,35.92,32.39,-0.056,-0.102,-0.028,0.893,0.841,0.958,24.54,38.02,-25.76,20.25,-26.0,-16.0,-21.5,-20.0,direction_fib_vwap_dist,0.5,,,,,,far_below,,,,,
long,120,45.0,34.17,25.0,-0.1,-0.146,-0.25,0.818,0.778,0.667,34.27,46.43,-32.07,24.81,-35.31,-16.0,-18.5,-34.0,direction_fib_risk,0.5,,30-40,,,,,,,,,
long,167,52.1,41.32,28.14,0.042,0.033,-0.156,1.088,1.056,0.783,17.69,27.13,-17.01,14.25,-13.5,-17.0,-14.5,-31.0,direction_fib_vwap_dist,0.5,,,,,,above,,,,,
,151,50.33,36.42,25.83,0.007,-0.089,-0.225,1.013,0.859,0.696,20.68,34.33,-19.86,14.27,-17.5,-17.0,-28.0,-37.0,hour,,11,,,,,,,,,,
short,241,50.21,40.25,34.02,0.004,0.006,0.021,1.008,1.01,1.031,17.15,39.7,-18.05,14.94,-15.56,-17.0,-16.5,-14.0,direction_fib_vwap_dist,0.618,,,,,,far_above,,,,,
short,210,46.67,38.1,30.48,-0.067,-0.048,-0.086,0.875,0.923,0.877,19.96,41.11,-19.66,16.94,-17.81,-17.0,-16.0,-27.0,direction_fib_vwap_dist,0.5,,,,,,far_above,,,,,
long,108,45.37,34.26,25.0,-0.093,-0.144,-0.25,0.831,0.782,0.667,12.53,17.72,-14.29,9.03,-11.24,-17.0,-21.5,-31.0,direction_fib_vwap_dist,0.618,,,,,,near,,,,,
long,359,52.37,39.83,33.43,0.047,-0.004,0.003,1.099,0.993,1.004,18.18,34.41,-20.69,15.73,-18.01,-18.0,-18.0,-17.0,direction_fib_liq,0.618,,,,,,,2+,,,,
long,279,49.46,38.35,30.47,-0.011,-0.041,-0.086,0.979,0.933,0.876,18.83,28.69,-19.73,15.38,-17.25,-18.0,-29.0,-42.0,direction_fib_liq,0.5,,,,,,,1,,,,
long,169,47.34,37.87,31.95,-0.053,-0.053,-0.041,0.899,0.914,0.939,20.7,39.64,-23.02,18.31,-22.81,-18.0,-25.0,-27.0,direction_fib_vwap_dist,0.618,,,,,,far_below,,,,,
