sim,net_points,max_dd,max_losing_streak
334,773.53,0.0,0
335,773.53,0.0,0
336,773.53,0.0,0
337,773.53,0.0,0
338,773.53,0.0,0
339,773.53,0.0,0
340,773.53,0.0,0
341,773.53,0.0,0
342,773.53,0.0,0
343,773.53,0.0,0
344,773.53,0.0,0
345,773.53,0.0,0
346,773.53,0.0,0
347,773.53,0.0,0
348,773.53,0.0,0
349,773.53,0.0,0
350,773.53,0.0,0
351,773.53,0.0,0
352,773.53,0.0,0
353,773.53,0.0,0
354,773.53,0.0,0
355,773.53,0.0,0
356,773.53,0.0,0
357,773.53,0.0,0
358,773.53,0.0,0
359,773.53,0.0,0
360,773.53,0.0,0
361,773.53,0.0,0
362,773.53,0.0,0
363,773.53,0.0,0
364,773.53,0.0,0
365,773.53,0.0,0
366,773.53,0.0,0
367,773.53,0.0,0
368,773.53,0.0,0
369,773.53,0.0,0
370,773.53,0.0,0
371,773.53,0.0,0
372,773.53,0.0,0
373,773.53,0.0,0
374,773.53,0.0,0
375,773.53,0.0,0
376,773.53,0.0,0
377,773.53,0.0,0
378,773.53,0.0,0
379,773.53,0.0,0
380,773.53,0.0,0
381,773.53,0.0,0
382,773.53,0.0,0
383,773.53,0.0,0
384,773.53,0.0,0
385,773.53,0.0,0
386,773.53,0.0,0
387,773.53,0.0,0
388,773.53,0.0,0
389,773.53,0.0,0
390,773.53,0.0,0
391,773.53,0.0,0
392,773.53,0.0,0
393,773.53,0.0,0
394,773.53,0.0,0
395,773.53,0.0,0
396,773.53,0.0,0
397,773.53,0.0,0
398,773.53,0.0,0
399,773.53,0.0,0
400,773.53,0.0,0
401,773.53,0.0,0
402,773.53,0.0,0
403,773.53,0.0,0
404,773.53,0.0,0
405,773.53,0.0,0
406,773.53,0.0,0
407,773.53,0.0,0
408,773.53,0.0,0
409,773.53,0.0,0
410,773.53,0.0,0
411,773.53,0.0,0
412,773.53,0.0,0
413,773.53,0.0,0
414,773.53,0.0,0
415,773.53,0.0,0
416,773.53,0.0,0
417,773.53,0.0,0
418,773.53,0.0,0
419,773.53,0.0,0
420,773.53,0.0,0
421,773.53,0.0,0
422,773.53,0.0,0
423,773.53,0.0,0
424,773.53,0.0,0
425,773.53,0.0,0
426,773.53,0.0,0
427,773.53,0.0,0
428,773.53,0.0,0
429,773.53,0.0,0
430,773.53,0.0,0
431,773.53,0.0,0
432,773.53,0.0,0
433,773.53,0.0,0
434,773.53,0.0,0
435,773.53,0.0,0
436,773.53,0.0,0
437,773.53,0.0,0
438,773.53,0.0,0
439,773.53,0.0,0
440,773.53,0.0,0
441,773.53,0.0,0
442,773.53,0.0,0
443,773.53,0.0,0
444,773.53,0.0,0
445,773.53,0.0,0
446,773.53,0.0,0
447,773.53,0.0,0
448,773.53,0.0,0
449,773.53,0.0,0
450,773.53,0.0,0
451,773.53,0.0,0
452,773.53,0.0,0
453,773.53,0.0,0
454,773.53,0.0,0
455,773.53,0.0,0
456,773.53,0.0,0
457,773.53,0.0,0
458,773.53,0.0,0
459,773.53,0.0,0
460,773.53,0.0,0
461,773.53,0.0,0
462,773.53,0.0,0
463,773.53,0.0,0
464,773.53,0.0,0
465,773.53,0.0,0
466,773.53,0.0,0
467,773.53,0.0,0
468,773.53,0.0,0
469,773.53,0.0,0
470,773.53,0.0,0
471,773.53,0.0,0
472,773.53,0.0,0
473,773.53,0.0,0
474,773.53,0.0,0
475,773.53,0.0,0
476,773.53,0.0,0
477,773.53,0.0,0
478,773.53,0.0,0
479,773.53,0.0,0
480,773.53,0.0,0
481,773.53,0.0,0
482,773.53,0.0,0
483,773.53,0.0,0
484,773.53,0.0,0
485,773.53,0.0,0
486,773.53,0.0,0
487,773.53,0.0,0
488,773.53,0.0,0
489,773.53,0.0,0
490,773.53,0.0,0
491,773.53,0.0,0
492,773.53,0.0,0
493,773.53,0.0,0
494,773.53,0.0,0
495,773.53,0.0,0
496,773.53,0.0,0
497,773.53,0.0,0
498,773.53,0.0,0
499,773.53,0.0,0
500,773.53,0.0,0
501,773.53,0.0,0
502,773.53,0.0,0
503,773.53,0.0,0
504,773.53,0.0,0
505,773.53,0.0,0
506,773.53,0.0,0
507,773.53,0.0,0
508,773.53,0.0,0
509,773.53,0.0,0
510,773.53,0.0,0
511,773.53,0.0,0
512,773.53,0.0,0
513,773.53,0.0,0
514,773.53,0.0,0
515,773.53,0.0,0
516,773.53,0.0,0
517,773.53,0.0,0
518,773.53,0.0,0
519,773.53,0.0,0
520,773.53,0.0,0
521,773.53,0.0,0
522,773.53,0.0,0
523,773.53,0.0,0
524,773.53,0.0,0
525,773.53,0.0,0
526,773.53,0.0,0
527,773.53,0.0,0
528,773.53,0.0,0
529,773.53,0.0,0
530,773.53,0.0,0
