trades,wr_1R,wr_1_5R,wr_2R,avg_r_1R,avg_r_1_5R,avg_r_2R,pf_1R,pf_1_5R,pf_2R,max_dd_1R,max_dd_1_5R,max_dd_2R,avg_risk,avg_mfe,avg_mae,test_type,feature_set,quality_score
14158,62.42,49.63,40.71,0.248,0.241,0.221,1.661,1.478,1.373,-13.0,-31.0,-45.0,12.99,33.76,-15.01,triple,vwap_aligned + has_liq_sweep + body_lt_60,273.82
6223,46.81,37.62,30.9,-0.064,-0.06,-0.073,0.88,0.905,0.894,-404.0,-404.5,-492.0,13.03,26.52,-16.87,triple,vwap_aligned + has_liq_sweep + rel_vol_ge_1_25,-437.59
20790,52.27,41.65,34.17,0.045,0.041,0.025,1.095,1.071,1.038,-119.0,-131.5,-218.0,10.37,23.75,-12.91,triple,vwap_aligned + has_liq_sweep + risk_le_20,27.77
15728,51.8,41.54,33.98,0.036,0.038,0.019,1.075,1.066,1.029,-78.0,-112.5,-252.0,14.85,32.11,-17.59,triple,vwap_aligned + has_liq_sweep + fvg_size_ge_2,85.9
5133,79.1,64.02,52.89,0.582,0.6,0.587,3.784,2.669,2.246,-6.0,-11.0,-16.0,12.46,40.56,-13.78,triple,vwap_aligned + ifvg_proxy + body_lt_60,546.7
1020,86.57,73.04,62.65,0.731,0.826,0.879,6.445,4.064,3.354,-4.0,-6.5,-7.0,12.17,47.41,-13.01,triple,vwap_aligned + ifvg_proxy + rel_vol_ge_1_25,838.17
4963,81.14,66.31,55.43,0.623,0.658,0.663,4.302,2.952,2.487,-5.0,-14.5,-16.0,10.17,36.15,-11.54,triple,vwap_aligned + ifvg_proxy + risk_le_20,606.14
3289,78.08,63.55,53.33,0.562,0.589,0.6,3.562,2.615,2.285,-9.0,-10.5,-14.0,14.63,47.59,-15.59,triple,vwap_aligned + ifvg_proxy + fvg_size_ge_2,516.98
4235,62.43,50.41,41.53,0.249,0.26,0.246,1.662,1.525,1.421,-9.0,-37.5,-56.0,12.34,32.99,-14.63,triple,vwap_aligned + body_lt_60 + rel_vol_ge_1_25,280.03
17779,62.69,49.97,41.22,0.254,0.249,0.237,1.68,1.498,1.402,-14.0,-31.5,-44.0,10.12,27.26,-12.05,triple,vwap_aligned + body_lt_60 + risk_le_20,275.09
12565,61.46,48.98,40.41,0.229,0.224,0.212,1.594,1.44,1.356,-15.0,-32.5,-53.0,14.37,35.86,-16.41,triple,vwap_aligned + body_lt_60 + fvg_size_ge_2,261.26
7914,46.64,37.21,30.53,-0.067,-0.07,-0.084,0.874,0.889,0.879,-541.0,-570.0,-706.0,10.03,20.31,-13.63,triple,vwap_aligned + rel_vol_ge_1_25 + risk_le_20,-644.16
6021,46.65,37.42,31.01,-0.067,-0.065,-0.07,0.875,0.897,0.899,-423.0,-400.5,-474.0,14.22,28.39,-17.87,triple,vwap_aligned + rel_vol_ge_1_25 + fvg_size_ge_2,-467.05
18055,51.59,41.15,33.91,0.032,0.029,0.017,1.066,1.049,1.026,-113.0,-124.0,-214.0,11.27,24.89,-13.79,triple,vwap_aligned + risk_le_20 + fvg_size_ge_2,31.89
5952,78.58,63.54,51.86,0.572,0.589,0.556,3.668,2.614,2.155,-5.0,-15.0,-19.0,12.82,42.05,-13.97,triple,has_liq_sweep + ifvg_proxy + body_lt_60,535.08
1112,87.32,73.65,62.5,0.746,0.841,0.875,6.887,4.193,3.333,-5.0,-6.0,-8.0,12.49,49.69,-13.11,triple,has_liq_sweep + ifvg_proxy + rel_vol_ge_1_25,883.12
5676,80.88,66.23,54.76,0.618,0.656,0.643,4.231,2.941,2.421,-5.0,-9.5,-12.0,10.36,37.3,-11.55,triple,has_liq_sweep + ifvg_proxy + risk_le_20,598.28
