zone_id,zone_type,zone_family,side,zone_time,trade_date,entry_time,exit_time,exit_reason,zone_low,zone_high,zone_mid,zone_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
436,30m_FVG,FVG,LONG,2026-02-05T10:30:00.000000,2026-02-05,2026-02-05T10:49:00.000000,2026-02-05T10:50:00.000000,TP3,24700.25,24730.25,24715.25,30.0,24730.25,24699.0,24755.25,24780.25,24805.25,24805.25,31.25,187.5,true,true,true,2026-02-05T10:49:00.000000,2026-02-05T10:49:00.000000,2026-02-05T10:50:00.000000,150.0,300.0,80.25,0.0,1.6,true,false,false
451,30m_FVG,FVG,LONG,2026-02-06T10:30:00.000000,2026-02-06,2026-02-06T10:58:00.000000,2026-02-06T11:10:00.000000,TP3,24962.25,24979.0,24970.62,16.75,24979.0,24961.0,25004.0,25029.0,25054.0,25054.0,18.0,108.0,true,true,true,2026-02-06T11:00:00.000000,2026-02-06T11:05:00.000000,2026-02-06T11:10:00.000000,150.0,300.0,77.25,0.0,2.7778,true,false,false
468,30m_FVG,FVG,LONG,2026-02-09T09:00:00.000000,2026-02-09,2026-02-09T09:03:00.000000,2026-02-09T09:05:00.000000,TP3,25094.25,25102.75,25098.5,8.5,25102.75,25093.0,25127.75,25152.75,25177.75,25177.75,9.75,58.5,true,true,true,2026-02-09T09:03:00.000000,2026-02-09T09:04:00.000000,2026-02-09T09:05:00.000000,150.0,300.0,77.0,0.0,5.1282,true,false,false
469,30m_FVG,FVG,LONG,2026-02-09T10:00:00.000000,2026-02-09,2026-02-09T10:06:00.000000,2026-02-09T10:45:00.000000,TP3,25254.0,25305.75,25279.88,51.75,25305.75,25252.75,25330.75,25355.75,25380.75,25380.75,53.0,318.0,true,true,true,2026-02-09T10:12:00.000000,2026-02-09T10:28:00.000000,2026-02-09T10:45:00.000000,150.0,300.0,76.5,0.0,0.9434,true,false,false
470,1h_FVG,FVG,LONG,2026-02-09T10:00:00.000000,2026-02-09,2026-02-09T10:06:00.000000,2026-02-09T10:45:00.000000,TP3,25188.5,25305.75,25247.12,117.25,25305.75,25187.25,25330.75,25355.75,25380.75,25380.75,118.5,711.0,true,true,true,2026-02-09T10:12:00.000000,2026-02-09T10:28:00.000000,2026-02-09T10:45:00.000000,150.0,300.0,76.5,0.0,0.4219,true,false,false
471,30m_FVG,FVG,LONG,2026-02-09T10:30:00.000000,2026-02-09,2026-02-09T10:38:00.000000,2026-02-09T11:13:00.000000,TP3,25329.0,25340.0,25334.5,11.0,25340.0,25327.75,25365.0,25390.0,25415.0,25415.0,12.25,73.5,true,true,true,2026-02-09T10:42:00.000000,2026-02-09T10:47:00.000000,2026-02-09T11:13:00.000000,150.0,300.0,76.5,0.0,4.0816,true,false,false
472,30m_FVG,FVG,LONG,2026-02-09T11:00:00.000000,2026-02-09,2026-02-09T11:26:00.000000,2026-02-09T11:58:00.000000,STOP,25358.25,25378.5,25368.38,20.25,25378.5,25357.0,25403.5,25428.5,25453.5,25357.0,21.5,129.0,false,false,false,,,,-64.5,-129.0,22.75,27.25,-1.0,false,true,false
496,1h_FVG,FVG,LONG,2026-02-11T08:00:00.000000,2026-02-11,2026-02-11T08:59:00.000000,2026-02-11T09:02:00.000000,STOP,25276.0,25290.0,25283.0,14.0,25290.0,25274.75,25315.0,25340.0,25365.0,25315.0,15.25,91.5,true,true,false,2026-02-11T09:00:00.000000,2026-02-11T09:01:00.000000,,100.0,200.0,53.25,12.0,2.1858,true,false,false
497,30m_FVG,FVG,SHORT,2026-02-11T09:00:00.000000,2026-02-11,2026-02-11T09:01:00.000000,2026-02-11T09:05:00.000000,TP3,25343.25,25407.75,25375.5,64.5,25343.25,25409.0,25318.25,25293.25,25268.25,25268.25,65.75,394.5,true,true,true,2026-02-11T09:01:00.000000,2026-02-11T09:02:00.000000,2026-02-11T09:05:00.000000,150.0,300.0,77.5,0.0,0.7605,true,false,false
498,30m_FVG,FVG,SHORT,2026-02-11T09:30:00.000000,2026-02-11,2026-02-11T09:57:00.000000,2026-02-11T10:06:00.000000,TP3,25271.5,25290.0,25280.75,18.5,25271.5,25291.25,25246.5,25221.5,25196.5,25196.5,19.75,118.5,true,true,true,2026-02-11T09:57:00.000000,2026-02-11T10:02:00.000000,2026-02-11T10:06:00.000000,150.0,300.0,79.5,0.0,2.5316,true,false,false
499,1h_FVG,FVG,SHORT,2026-02-11T10:00:00.000000,2026-02-11,2026-02-11T10:24:00.000000,2026-02-11T10:28:00.000000,TP3,25275.0,25290.0,25282.5,15.0,25275.0,25291.25,25250.0,25225.0,25200.0,25200.0,16.25,97.5,true,true,true,2026-02-11T10:25:00.000000,2026-02-11T10:27:00.000000,2026-02-11T10:28:00.000000,150.0,300.0,78.5,0.0,3.0769,true,false,false
505,30m_FVG,FVG,SHORT,2026-02-12T09:00:00.000000,2026-02-12,2026-02-12T09:22:00.000000,2026-02-12T09:23:00.000000,STOP,25260.25,25346.0,25303.12,85.75,25260.25,25347.25,25235.25,25210.25,25185.25,25235.25,87.0,522.0,true,true,false,2026-02-12T09:22:00.000000,2026-02-12T09:22:00.000000,,100.0,200.0,66.25,0.0,0.3831,true,false,false
506,1h_FVG,FVG,SHORT,2026-02-12T09:00:00.000000,2026-02-12,2026-02-12T09:22:00.000000,2026-02-12T09:23:00.000000,STOP,25260.25,25320.25,25290.25,60.0,25260.25,25321.5,25235.25,25210.25,25185.25,25235.25,61.25,367.5,true,true,false,2026-02-12T09:22:00.000000,2026-02-12T09:22:00.000000,,100.0,200.0,66.25,0.0,0.5442,true,false,false
507,30m_FVG,FVG,SHORT,2026-02-12T10:00:00.000000,2026-02-12,2026-02-12T10:03:00.000000,2026-02-12T10:07:00.000000,TP3,25031.75,25169.75,25100.75,138.0,25031.75,25171.0,25006.75,24981.75,24956.75,24956.75,139.25,835.5,true,true,true,2026-02-12T10:03:00.000000,2026-02-12T10:05:00.000000,2026-02-12T10:07:00.000000,150.0,300.0,88.25,0.0,0.3591,true,false,false
508,1h_FVG,FVG,SHORT,2026-02-12T10:00:00.000000,2026-02-12,2026-02-12T10:03:00.000000,2026-02-12T10:07:00.000000,TP3,25031.75,25186.25,25109.0,154.5,25031.75,25187.5,25006.75,24981.75,24956.75,24956.75,155.75,934.5,true,true,true,2026-02-12T10:03:00.000000,2026-02-12T10:05:00.000000,2026-02-12T10:07:00.000000,150.0,300.0,88.25,0.0,0.321,true,false,false
509,30m_FVG,FVG,SHORT,2026-02-12T10:30:00.000000,2026-02-12,2026-02-12T10:43:00.000000,2026-02-12T10:45:00.000000,STOP,24921.75,25006.5,24964.12,84.75,24921.75,25007.75,24896.75,24871.75,24846.75,24896.75,86.0,516.0,true,true,false,2026-02-12T10:43:00.000000,2026-02-12T10:44:00.000000,,100.0,200.0,56.0,0.0,0.3876,true,false,false
533,30m_FVG,FVG,SHORT,2026-02-16T08:30:00.000000,2026-02-16,2026-02-16T08:57:00.000000,2026-02-16T09:30:00.000000,TP3,24782.75,24844.25,24813.5,61.5,24782.75,24845.5,24757.75,24732.75,24707.75,24707.75,62.75,376.5,true,true,true,2026-02-16T09:14:00.000000,2026-02-16T09:21:00.000000,2026-02-16T09:30:00.000000,150.0,300.0,77.0,14.75,0.7968,true,false,false
534,1h_FVG,FVG,SHORT,2026-02-16T09:00:00.000000,2026-02-16,2026-02-16T09:06:00.000000,2026-02-16T09:22:00.000000,TP3,24797.5,24844.25,24820.88,46.75,24797.5,24845.5,24772.5,24747.5,24722.5,24722.5,48.0,288.0,true,true,true,2026-02-16T09:10:00.000000,2026-02-16T09:18:00.000000,2026-02-16T09:22:00.000000,150.0,300.0,77.0,0.0,1.0417,true,false,false
544,30m_FVG,FVG,LONG,2026-02-17T10:30:00.000000,2026-02-17,2026-02-17T11:12:00.000000,2026-02-17T11:16:00.000000,STOP,24603.75,24693.25,24648.5,89.5,24693.25,24602.5,24718.25,24743.25,24768.25,24693.25,90.75,544.5,true,false,false,2026-02-17T11:15:00.000000,,,25.0,50.0,26.25,7.75,0.0918,true,false,false
562,30m_FVG,FVG,LONG,2026-02-18T09:30:00.000000,2026-02-18,2026-02-18T09:34:00.000000,2026-02-18T09:55:00.000000,TP3,24958.5,25021.5,24990.0,63.0,25021.5,24957.25,25046.5,25071.5,25096.5,25096.5,64.25,385.5,true,true,true,2026-02-18T09:36:00.000000,2026-02-18T09:40:00.000000,2026-02-18T09:55:00.000000,150.0,300.0,76.0,0.0,0.7782,true,false,false
563,30m_FVG,FVG,LONG,2026-02-18T10:00:00.000000,2026-02-18,2026-02-18T10:20:00.000000,2026-02-18T10:53:00.000000,STOP,25074.0,25077.25,25075.62,3.25,25077.25,25072.75,25102.25,25127.25,25152.25,25077.25,4.5,27.0,true,false,false,2026-02-18T10:25:00.000000,,,25.0,50.0,40.0,6.25,1.8519,true,false,false
564,1h_FVG,FVG,LONG,2026-02-18T10:00:00.000000,2026-02-18,2026-02-18T10:58:00.000000,2026-02-18T11:12:00.000000,STOP,24958.5,25057.5,25008.0,99.0,25057.5,24957.25,25082.5,25107.5,25132.5,25082.5,100.25,601.5,true,true,false,2026-02-18T11:02:00.000000,2026-02-18T11:05:00.000000,,100.0,200.0,70.75,0.0,0.3325,true,false,false
588,30m_FVG,FVG,SHORT,2026-02-20T05:00:00.000000,2026-02-20,2026-02-20T08:42:00.000000,2026-02-20T08:42:00.000000,STOP,24902.5,24919.75,24911.12,17.25,24902.5,24921.0,24877.5,24852.5,24827.5,24921.0,18.5,111.0,false,false,false,,,,-55.5,-111.0,31.25,46.0,-1.0,false,true,false
589,1h_FVG,FVG,SHORT,2026-02-20T05:00:00.000000,2026-02-20,2026-02-20T08:42:00.000000,2026-02-20T08:42:00.000000,STOP,24902.5,24931.75,24917.12,29.25,24902.5,24933.0,24877.5,24852.5,24827.5,24933.0,30.5,183.0,false,false,false,,,,-91.5,-183.0,31.25,46.0,-1.0,false,true,false
593,30m_FVG,FVG,LONG,2026-02-20T09:00:00.000000,2026-02-20,2026-02-20T09:06:00.000000,2026-02-20T09:07:00.000000,STOP,24784.0,24858.25,24821.12,74.25,24858.25,24782.75,24883.25,24908.25,24933.25,24883.25,75.5,453.0,true,true,false,2026-02-20T09:06:00.000000,2026-02-20T09:06:00.000000,,100.0,200.0,74.75,0.0,0.4415,true,false,false
