fvg_id,side,fvg_time,trade_date,entry_time,exit_time,exit_reason,fvg_low,fvg_high,fvg_mid,fvg_size,entry,stop_initial,tp1,tp2,tp3,final_exit_price,initial_risk_points,initial_risk_dollars,tp1_hit,tp2_hit,tp3_hit,tp1_time,tp2_time,tp3_time,gross_points_3_contracts,pnl_dollars,mfe_points_from_entry,mae_points_from_entry,r_multiple,win,loss,breakeven
101,LONG,2026-01-27T23:00:00.000000,2026-01-28,2026-01-28T08:36:00.000000,2026-01-28T08:36:00.000000,STOP,26218.75,26220.25,26219.5,1.5,26220.25,26217.5,26245.25,26270.25,26295.25,26217.5,2.75,16.5,false,false,false,,,,-8.25,-16.5,15.0,6.5,-1.0,false,true,false
104,SHORT,2026-01-28T10:00:00.000000,2026-01-28,2026-01-28T10:11:00.000000,2026-01-28T10:44:00.000000,TP3,26198.5,26213.75,26206.12,15.25,26198.5,26215.0,26173.5,26148.5,26123.5,26123.5,16.5,99.0,true,true,true,2026-01-28T10:16:00.000000,2026-01-28T10:31:00.000000,2026-01-28T10:44:00.000000,150.0,300.0,77.5,0.0,3.0303,true,false,false
109,SHORT,2026-01-29T10:00:00.000000,2026-01-29,2026-01-29T10:48:00.000000,2026-01-29T10:59:00.000000,STOP,25739.75,25858.0,25798.88,118.25,25739.75,25859.25,25714.75,25689.75,25664.75,25714.75,119.5,717.0,true,true,false,2026-01-29T10:49:00.000000,2026-01-29T10:58:00.000000,,100.0,200.0,55.5,0.0,0.2789,true,false,false
120,LONG,2026-02-02T09:00:00.000000,2026-02-03,2026-02-03T08:43:00.000000,2026-02-03T08:44:00.000000,STOP,25540.0,25733.0,25636.5,193.0,25733.0,25538.75,25758.0,25783.0,25808.0,25758.0,194.25,1165.5,true,true,false,2026-02-03T08:43:00.000000,2026-02-03T08:43:00.000000,,100.0,200.0,70.5,10.0,0.1716,true,false,false
121,LONG,2026-02-02T10:00:00.000000,2026-02-02,2026-02-02T10:06:00.000000,2026-02-02T10:18:00.000000,TP3,25799.5,25803.0,25801.25,3.5,25803.0,25798.25,25828.0,25853.0,25878.0,25878.0,4.75,28.5,true,true,true,2026-02-02T10:07:00.000000,2026-02-02T10:10:00.000000,2026-02-02T10:18:00.000000,150.0,300.0,75.0,0.0,10.5263,true,false,false
130,SHORT,2026-02-04T08:00:00.000000,2026-02-04,2026-02-04T08:43:00.000000,2026-02-04T08:45:00.000000,TP3,25390.0,25396.75,25393.38,6.75,25390.0,25398.0,25365.0,25340.0,25315.0,25315.0,8.0,48.0,true,true,true,2026-02-04T08:43:00.000000,2026-02-04T08:44:00.000000,2026-02-04T08:45:00.000000,150.0,300.0,98.0,0.0,6.25,true,false,false
131,SHORT,2026-02-04T09:00:00.000000,2026-02-04,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,TP3,25305.0,25342.0,25323.5,37.0,25305.0,25343.25,25280.0,25255.0,25230.0,25230.0,38.25,229.5,true,true,true,2026-02-04T09:26:00.000000,2026-02-04T09:26:00.000000,2026-02-04T09:28:00.000000,150.0,300.0,79.25,0.0,1.3072,true,false,false
133,SHORT,2026-02-04T11:00:00.000000,2026-02-04,2026-02-04T11:03:00.000000,2026-02-04T11:08:00.000000,STOP,25057.5,25108.0,25082.75,50.5,25057.5,25109.25,25032.5,25007.5,24982.5,25032.5,51.75,310.5,true,true,false,2026-02-04T11:03:00.000000,2026-02-04T11:07:00.000000,,100.0,200.0,50.0,0.0,0.6441,true,false,false
148,LONG,2026-02-09T10:00:00.000000,2026-02-09,2026-02-09T10:06:00.000000,2026-02-09T10:45:00.000000,TP3,25188.5,25305.75,25247.12,117.25,25305.75,25187.25,25330.75,25355.75,25380.75,25380.75,118.5,711.0,true,true,true,2026-02-09T10:12:00.000000,2026-02-09T10:28:00.000000,2026-02-09T10:45:00.000000,150.0,300.0,76.5,0.0,0.4219,true,false,false
155,LONG,2026-02-11T08:00:00.000000,2026-02-11,2026-02-11T08:59:00.000000,2026-02-11T09:02:00.000000,STOP,25276.0,25290.0,25283.0,14.0,25290.0,25274.75,25315.0,25340.0,25365.0,25315.0,15.25,91.5,true,true,false,2026-02-11T09:00:00.000000,2026-02-11T09:01:00.000000,,100.0,200.0,53.25,12.0,2.1858,true,false,false
156,SHORT,2026-02-11T10:00:00.000000,2026-02-11,2026-02-11T10:24:00.000000,2026-02-11T10:28:00.000000,TP3,25275.0,25290.0,25282.5,15.0,25275.0,25291.25,25250.0,25225.0,25200.0,25200.0,16.25,97.5,true,true,true,2026-02-11T10:25:00.000000,2026-02-11T10:27:00.000000,2026-02-11T10:28:00.000000,150.0,300.0,78.5,0.0,3.0769,true,false,false
158,SHORT,2026-02-12T09:00:00.000000,2026-02-12,2026-02-12T09:22:00.000000,2026-02-12T09:23:00.000000,STOP,25260.25,25320.25,25290.25,60.0,25260.25,25321.5,25235.25,25210.25,25185.25,25235.25,61.25,367.5,true,true,false,2026-02-12T09:22:00.000000,2026-02-12T09:22:00.000000,,100.0,200.0,66.25,0.0,0.5442,true,false,false
159,SHORT,2026-02-12T10:00:00.000000,2026-02-12,2026-02-12T10:03:00.000000,2026-02-12T10:07:00.000000,TP3,25031.75,25186.25,25109.0,154.5,25031.75,25187.5,25006.75,24981.75,24956.75,24956.75,155.75,934.5,true,true,true,2026-02-12T10:03:00.000000,2026-02-12T10:05:00.000000,2026-02-12T10:07:00.000000,150.0,300.0,88.25,0.0,0.321,true,false,false
169,SHORT,2026-02-16T09:00:00.000000,2026-02-16,2026-02-16T09:06:00.000000,2026-02-16T09:22:00.000000,TP3,24797.5,24844.25,24820.88,46.75,24797.5,24845.5,24772.5,24747.5,24722.5,24722.5,48.0,288.0,true,true,true,2026-02-16T09:10:00.000000,2026-02-16T09:18:00.000000,2026-02-16T09:22:00.000000,150.0,300.0,77.0,0.0,1.0417,true,false,false
178,LONG,2026-02-18T10:00:00.000000,2026-02-18,2026-02-18T10:58:00.000000,2026-02-18T11:12:00.000000,STOP,24958.5,25057.5,25008.0,99.0,25057.5,24957.25,25082.5,25107.5,25132.5,25082.5,100.25,601.5,true,true,false,2026-02-18T11:02:00.000000,2026-02-18T11:05:00.000000,,100.0,200.0,70.75,0.0,0.3325,true,false,false
185,SHORT,2026-02-20T05:00:00.000000,2026-02-20,2026-02-20T08:42:00.000000,2026-02-20T08:42:00.000000,STOP,24902.5,24931.75,24917.12,29.25,24902.5,24933.0,24877.5,24852.5,24827.5,24933.0,30.5,183.0,false,false,false,,,,-91.5,-183.0,31.25,46.0,-1.0,false,true,false
187,LONG,2026-02-20T10:00:00.000000,2026-02-20,2026-02-20T10:30:00.000000,2026-02-20T10:33:00.000000,TP3,24957.5,24967.25,24962.38,9.75,24967.25,24956.25,24992.25,25017.25,25042.25,25042.25,11.0,66.0,true,true,true,2026-02-20T10:31:00.000000,2026-02-20T10:32:00.000000,2026-02-20T10:33:00.000000,150.0,300.0,78.75,0.0,4.5455,true,false,false
190,LONG,2026-02-23T01:00:00.000000,2026-02-23,2026-02-23T08:46:00.000000,2026-02-23T08:48:00.000000,STOP,24844.25,24863.25,24853.75,19.0,24863.25,24843.0,24888.25,24913.25,24938.25,24888.25,20.25,121.5,true,true,false,2026-02-23T08:46:00.000000,2026-02-23T08:46:00.000000,,100.0,200.0,60.0,5.5,1.6461,true,false,false
195,SHORT,2026-02-23T10:00:00.000000,2026-02-23,2026-02-23T10:31:00.000000,2026-02-23T10:51:00.000000,STOP,24789.25,24857.75,24823.5,68.5,24789.25,24859.0,24764.25,24739.25,24714.25,24764.25,69.75,418.5,true,true,false,2026-02-23T10:31:00.000000,2026-02-23T10:48:00.000000,,100.0,200.0,55.75,0.0,0.4779,true,false,false
196,LONG,2026-02-23T15:00:00.000000,2026-02-24,2026-02-24T08:31:00.000000,2026-02-24T08:31:00.000000,STOP,24755.0,24758.0,24756.5,3.0,24758.0,24753.75,24783.0,24808.0,24833.0,24753.75,4.25,25.5,false,false,false,,,,-12.75,-25.5,63.25,4.25,-1.0,false,true,false
199,LONG,2026-02-24T10:00:00.000000,2026-02-24,2026-02-24T10:34:00.000000,2026-02-24T11:07:00.000000,TP3,24964.25,24969.25,24966.75,5.0,24969.25,24963.0,24994.25,25019.25,25044.25,25044.25,6.25,37.5,true,true,true,2026-02-24T10:35:00.000000,2026-02-24T10:50:00.000000,2026-02-24T11:07:00.000000,150.0,300.0,76.25,0.0,8.0,true,false,false
205,LONG,2026-02-25T09:00:00.000000,2026-02-25,2026-02-25T09:55:00.000000,2026-02-25T11:12:00.000000,TP3,25165.75,25264.5,25215.12,98.75,25264.5,25164.5,25289.5,25314.5,25339.5,25339.5,100.0,600.0,true,true,true,2026-02-25T09:58:00.000000,2026-02-25T10:31:00.000000,2026-02-25T11:12:00.000000,150.0,300.0,75.25,0.0,0.5,true,false,false
208,LONG,2026-02-26T01:00:00.000000,2026-02-26,2026-02-26T08:30:00.000000,2026-02-26T08:30:00.000000,STOP,25309.75,25326.25,25318.0,16.5,25326.25,25308.5,25351.25,25376.25,25401.25,25308.5,17.75,106.5,false,false,false,,,,-53.25,-106.5,15.75,41.25,-1.0,false,true,false
210,SHORT,2026-02-26T10:00:00.000000,2026-02-26,2026-02-26T10:26:00.000000,2026-02-26T10:38:00.000000,TP3,25085.5,25181.25,25133.38,95.75,25085.5,25182.5,25060.5,25035.5,25010.5,25010.5,97.0,582.0,true,true,true,2026-02-26T10:27:00.000000,2026-02-26T10:36:00.000000,2026-02-26T10:38:00.000000,150.0,300.0,78.75,0.0,0.5155,true,false,false
