signal_id,signal_time,entry_time,exit_time,year,trade_date,side,fib_entry,target_r,entry_price,stop_price,target_price,risk_points,result,pnl_points,bars_held,mfe_points,mae_points,exit_reason,orb_high,orb_low,signal_open,signal_high,signal_low,signal_close,signal_volume,body_pct,bias15,ema200,vwap
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib382,1.5,19798.6135,19770.25,19841.15875,28.363499999999476,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib382,2.0,19798.6135,19770.25,19855.3405,28.363499999999476,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib50,1.0,19807.375,19770.25,19844.5,37.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib50,1.5,19807.375,19770.25,19863.0625,37.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
222,2024-08-19T13:50:00.000000,,,2024,2024-08-19,LONG,fib50,2.0,19807.375,19770.25,19881.625,37.125,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19633.0,19592.75,19770.25,19844.5,19770.25,19838.25,11201.0,91.58249158249158,1,19654.64183341833,19653.194774756073
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib382,1.0,19765.5775,19793.75,19737.405,28.172500000000582,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib382,1.5,19765.5775,19793.75,19723.31875,28.172500000000582,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib382,2.0,19765.5775,19793.75,19709.2325,28.172500000000582,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib50,1.0,19756.875,19793.75,19720.0,36.875,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
224,2024-08-22T10:50:00.000000,,,2024,2024-08-22,SHORT,fib50,1.5,19756.875,19793.75,19701.5625,36.875,NO_ENTRY,0.0,0,0.0,0.0,no_entry_or_no_exit,19916.5,19869.25,19788.25,19793.75,19720.0,19722.75,8502.0,88.8135593220339,-1,19893.879326768198,19865.88235865474
