ts,symbol,close,prev_symbol,prev_close,gap_minutes,close_change,symbol_changed
2021-05-23T22:00:00.000000,NQM1,13389.0,NQM1,13414.0,2941.0,-25.0,false
2021-05-24T20:30:00.000000,NQM1,13647.75,NQM1,13648.25,16.0,-0.5,false
2021-05-24T22:00:00.000000,NQM1,13651.75,NQM1,13649.5,61.0,2.25,false
2021-05-25T20:30:00.000000,NQM1,13657.0,NQM1,13652.0,16.0,5.0,false
2021-05-25T22:00:00.000000,NQM1,13667.25,NQM1,13668.25,61.0,-1.0,false
2021-05-26T20:30:00.000000,NQM1,13705.75,NQM1,13705.25,16.0,0.5,false
2021-05-26T22:00:00.000000,NQM1,13703.75,NQM1,13702.75,61.0,1.0,false
2021-05-27T20:30:00.000000,NQM1,13678.75,NQM1,13680.25,16.0,-1.5,false
2021-05-27T22:00:00.000000,NQM1,13697.0,NQM1,13692.75,61.0,4.25,false
2021-05-28T20:30:00.000000,NQM1,13693.5,NQM1,13693.0,16.0,0.5,false
2021-05-30T22:00:00.000000,NQM1,13703.75,NQM1,13686.5,2941.0,17.25,false
2021-05-31T22:00:00.000000,NQM1,13670.75,NQM1,13654.75,301.0,16.0,false
2021-06-01T20:30:00.000000,NQM1,13651.5,NQM1,13649.25,16.0,2.25,false
2021-06-01T22:00:00.000000,NQM1,13642.75,NQM1,13647.5,61.0,-4.75,false
2021-06-02T20:30:00.000000,NQM1,13669.0,NQM1,13677.5,16.0,-8.5,false
2021-06-02T22:00:00.000000,NQM1,13682.5,NQM1,13677.0,61.0,5.5,false
2021-06-03T20:30:00.000000,NQM1,13521.0,NQM1,13518.0,16.0,3.0,false
2021-06-03T22:00:00.000000,NQM1,13534.0,NQM1,13530.25,61.0,3.75,false
2021-06-04T20:30:00.000000,NQM1,13764.0,NQM1,13758.75,16.0,5.25,false
2021-06-06T22:00:00.000000,NQM1,13779.0,NQM1,13763.25,2941.0,15.75,false
2021-06-07T20:30:00.000000,NQM1,13811.5,NQM1,13812.0,16.0,-0.5,false
2021-06-07T22:00:00.000000,NQM1,13822.5,NQM1,13822.75,61.0,-0.25,false
2021-06-08T20:30:00.000000,NQM1,13812.25,NQM1,13814.25,16.0,-2.0,false
2021-06-08T22:00:00.000000,NQM1,13812.75,NQM1,13812.75,61.0,0.0,false
2021-06-09T20:30:00.000000,NQM1,13816.5,NQM1,13816.25,16.0,0.25,false
2021-06-09T22:00:00.000000,NQM1,13818.5,NQM1,13811.5,61.0,7.0,false
2021-06-10T20:30:00.000000,NQM1,13963.75,NQM1,13963.75,16.0,0.0,false
2021-06-10T22:00:00.000000,NQM1,13971.75,NQM1,13973.5,61.0,-1.75,false
2021-06-11T20:30:00.000000,NQM1,13993.25,NQM1,13993.5,16.0,-0.25,false
2021-06-13T22:00:00.000000,NQU1,14003.0,NQM1,13992.75,2941.0,10.25,true
2021-06-14T20:30:00.000000,NQU1,14113.0,NQU1,14112.25,16.0,0.75,false
2021-06-14T22:00:00.000000,NQU1,14114.0,NQU1,14109.75,61.0,4.25,false
2021-06-15T20:30:00.000000,NQU1,14031.75,NQU1,14034.5,16.0,-2.75,false
2021-06-15T22:00:00.000000,NQU1,14035.75,NQU1,14037.75,61.0,-2.0,false
2021-06-16T20:30:00.000000,NQU1,13961.5,NQU1,13967.25,16.0,-5.75,false
2021-06-16T22:00:00.000000,NQU1,13939.0,NQU1,13930.75,61.0,8.25,false
2021-06-17T20:30:00.000000,NQU1,14172.25,NQU1,14169.75,16.0,2.5,false
2021-06-17T22:00:00.000000,NQU1,14175.5,NQU1,14177.0,61.0,-1.5,false
2021-06-18T20:30:00.000000,NQU1,14037.75,NQU1,14042.75,16.0,-5.0,false
2021-06-20T22:00:00.000000,NQU1,14029.0,NQU1,14017.75,2941.0,11.25,false
2021-06-21T20:30:00.000000,NQU1,14136.0,NQU1,14135.25,16.0,0.75,false
2021-06-21T22:00:00.000000,NQU1,14137.25,NQU1,14137.5,61.0,-0.25,false
2021-06-22T20:30:00.000000,NQU1,14270.0,NQU1,14267.25,16.0,2.75,false
2021-06-22T22:00:00.000000,NQU1,14269.5,NQU1,14268.5,61.0,1.0,false
2021-06-23T20:30:00.000000,NQU1,14270.75,NQU1,14272.75,16.0,-2.0,false
2021-06-23T22:00:00.000000,NQU1,14273.5,NQU1,14274.25,61.0,-0.75,false
2021-06-24T20:30:00.000000,NQU1,14353.5,NQU1,14355.5,16.0,-2.0,false
2021-06-24T22:00:00.000000,NQU1,14354.75,NQU1,14359.0,61.0,-4.25,false
2021-06-25T20:30:00.000000,NQU1,14328.0,NQU1,14324.0,16.0,4.0,false
2021-06-27T22:00:00.000000,NQU1,14340.0,NQU1,14331.0,2941.0,9.0,false
2021-06-28T22:00:00.000000,NQU1,14497.25,NQU1,14502.75,61.0,-5.5,false
2021-06-29T22:00:00.000000,NQU1,14579.25,NQU1,14582.75,61.0,-3.5,false
2021-06-30T22:00:00.000000,NQU1,14556.75,NQU1,14555.5,61.0,1.25,false
2021-07-01T22:00:00.000000,NQU1,14537.25,NQU1,14540.0,61.0,-2.75,false
2021-07-04T22:00:00.000000,NQU1,14707.5,NQU1,14701.0,2941.0,6.5,false
2021-07-05T22:00:00.000000,NQU1,14698.75,NQU1,14693.25,301.0,5.5,false
2021-07-06T22:00:00.000000,NQU1,14761.25,NQU1,14763.75,61.0,-2.5,false
2021-07-07T22:00:00.000000,NQU1,14806.75,NQU1,14810.25,61.0,-3.5,false
2021-07-08T22:00:00.000000,NQU1,14705.0,NQU1,14713.0,61.0,-8.0,false
2021-07-11T22:00:00.000000,NQU1,14831.0,NQU1,14814.25,2941.0,16.75,false
2021-07-12T22:00:00.000000,NQU1,14876.25,NQU1,14876.0,61.0,0.25,false
2021-07-13T22:00:00.000000,NQU1,14864.0,NQU1,14865.0,61.0,-1.0,false
2021-07-14T22:00:00.000000,NQU1,14895.25,NQU1,14896.75,61.0,-1.5,false
2021-07-15T22:00:00.000000,NQU1,14773.75,NQU1,14776.5,61.0,-2.75,false
2021-07-18T22:00:00.000000,NQU1,14680.0,NQU1,14668.5,2941.0,11.5,false
2021-07-19T22:00:00.000000,NQU1,14593.25,NQU1,14592.25,61.0,1.0,false
2021-07-20T22:00:00.000000,NQU1,14726.0,NQU1,14726.75,61.0,-0.75,false
2021-07-21T22:00:00.000000,NQU1,14832.25,NQU1,14838.25,61.0,-6.0,false
2021-07-22T22:00:00.000000,NQU1,14976.5,NQU1,14977.0,61.0,-0.5,false
2021-07-25T22:00:00.000000,NQU1,15097.75,NQU1,15091.25,2941.0,6.5,false
2021-07-26T22:00:00.000000,NQU1,15117.75,NQU1,15124.5,61.0,-6.75,false
2021-07-27T22:00:00.000000,NQU1,14880.0,NQU1,14884.75,61.0,-4.75,false
2021-07-28T22:00:00.000000,NQU1,14981.75,NQU1,14984.75,61.0,-3.0,false
2021-07-29T22:00:00.000000,NQU1,14907.5,NQU1,14909.75,61.0,-2.25,false
2021-08-01T22:00:00.000000,NQU1,14974.0,NQU1,14966.5,2941.0,7.5,false
2021-08-02T22:00:00.000000,NQU1,14958.75,NQU1,14959.75,61.0,-1.0,false
2021-08-03T22:00:00.000000,NQU1,15041.75,NQU1,15035.0,61.0,6.75,false
2021-08-04T22:00:00.000000,NQU1,15076.5,NQU1,15081.5,61.0,-5.0,false
2021-08-05T22:00:00.000000,NQU1,15163.5,NQU1,15171.75,61.0,-8.25,false
2021-08-08T22:00:00.000000,NQU1,15087.0,NQU1,15092.75,2941.0,-5.75,false
2021-08-09T22:00:00.000000,NQU1,15127.75,NQU1,15126.75,61.0,1.0,false
2021-08-10T22:00:00.000000,NQU1,15043.25,NQU1,15048.0,61.0,-4.75,false
2021-08-11T22:00:00.000000,NQU1,15002.5,NQU1,15008.5,61.0,-6.0,false
2021-08-12T22:00:00.000000,NQU1,15074.75,NQU1,15079.5,61.0,-4.75,false
2021-08-15T22:00:00.000000,NQU1,15116.25,NQU1,15122.0,2941.0,-5.75,false
2021-08-16T22:00:00.000000,NQU1,15129.5,NQU1,15135.0,61.0,-5.5,false
2021-08-17T22:00:00.000000,NQU1,14973.0,NQU1,14969.25,61.0,3.75,false
2021-08-18T22:00:00.000000,NQU1,14844.75,NQU1,14839.5,61.0,5.25,false
2021-08-19T22:00:00.000000,NQU1,14941.75,NQU1,14943.75,61.0,-2.0,false
2021-08-22T22:00:00.000000,NQU1,15092.0,NQU1,15095.0,2941.0,-3.0,false
2021-08-23T22:00:00.000000,NQU1,15325.25,NQU1,15328.25,61.0,-3.0,false
2021-08-24T22:00:00.000000,NQU1,15362.5,NQU1,15363.5,61.0,-1.0,false
2021-08-25T22:00:00.000000,NQU1,15365.75,NQU1,15367.25,61.0,-1.5,false
2021-08-26T22:00:00.000000,NQU1,15284.25,NQU1,15287.25,61.0,-3.0,false
2021-08-29T22:00:00.000000,NQU1,15432.0,NQU1,15428.25,2941.0,3.75,false
2021-08-30T22:00:00.000000,NQU1,15602.25,NQU1,15606.5,61.0,-4.25,false
2021-08-31T22:00:00.000000,NQU1,15597.25,NQU1,15599.5,61.0,-2.25,false
2021-09-01T22:00:00.000000,NQU1,15612.0,NQU1,15610.0,61.0,2.0,false
2021-09-02T22:00:00.000000,NQU1,15595.75,NQU1,15600.75,61.0,-5.0,false
2021-09-05T22:00:00.000000,NQU1,15661.0,NQU1,15655.0,2941.0,6.0,false
2021-09-06T22:00:00.000000,NQU1,15698.5,NQU1,15701.25,301.0,-2.75,false
2021-09-07T22:00:00.000000,NQU1,15672.0,NQU1,15672.0,61.0,0.0,false
2021-09-08T22:00:00.000000,NQU1,15609.5,NQU1,15609.75,61.0,-0.25,false
2021-09-09T22:00:00.000000,NQU1,15565.5,NQU1,15562.5,61.0,3.0,false
2021-09-12T22:00:00.000000,NQZ1,15451.5,NQU1,15447.75,2941.0,3.75,true
2021-09-13T22:00:00.000000,NQZ1,15442.25,NQZ1,15445.25,61.0,-3.0,false
2021-09-14T22:00:00.000000,NQZ1,15392.25,NQZ1,15388.25,61.0,4.0,false
2021-09-15T22:00:00.000000,NQZ1,15506.25,NQZ1,15508.25,61.0,-2.0,false
2021-09-16T22:00:00.000000,NQZ1,15499.25,NQZ1,15498.0,61.0,1.25,false
2021-09-19T22:00:00.000000,NQZ1,15301.5,NQZ1,15282.75,2941.0,18.75,false
2021-09-20T22:00:00.000000,NQZ1,15001.25,NQZ1,14991.0,61.0,10.25,false
2021-09-21T22:00:00.000000,NQZ1,14996.75,NQZ1,14992.75,61.0,4.0,false
2021-09-22T22:00:00.000000,NQZ1,15180.5,NQZ1,15178.25,61.0,2.25,false
2021-09-23T22:00:00.000000,NQZ1,15304.0,NQZ1,15296.0,61.0,8.0,false
2021-09-26T22:00:00.000000,NQZ1,15326.25,NQZ1,15319.0,2941.0,7.25,false
2021-09-27T22:00:00.000000,NQZ1,15179.5,NQZ1,15171.5,61.0,8.0,false
2021-09-28T22:00:00.000000,NQZ1,14778.75,NQZ1,14768.0,61.0,10.75,false
2021-09-29T22:00:00.000000,NQZ1,14779.0,NQZ1,14762.5,61.0,16.5,false
2021-09-30T22:00:00.000000,NQZ1,14705.5,NQZ1,14692.25,61.0,13.25,false
2021-10-03T22:00:00.000000,NQZ1,14793.0,NQZ1,14777.25,2941.0,15.75,false
2021-10-04T22:00:00.000000,NQZ1,14495.25,NQZ1,14489.0,61.0,6.25,false
2021-10-05T22:00:00.000000,NQZ1,14664.25,NQZ1,14661.5,61.0,2.75,false
2021-10-06T22:00:00.000000,NQZ1,14772.75,NQZ1,14765.5,61.0,7.25,false
2021-10-07T22:00:00.000000,NQZ1,14896.0,NQZ1,14891.25,61.0,4.75,false
