stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_market,2025-07-30 09:11:00,2025-07-30 09:12:00,2025-07-30,23484.25,23500.75,23484.0,23484.5,23502.75,23447.25,23502.75,2025-07-30 09:23:00,loss,18.5,-18.5,-1.0,8.75,-19.25
step1_market,2025-07-31 08:45:00,2025-07-31 08:46:00,2025-07-31,23592.25,23622.25,23592.25,23592.5,23624.25,23528.25,23528.25,2025-07-31 09:10:00,win,32.0,64.0,2.0,65.0,-18.25
step1_market,2025-07-31 08:50:00,2025-07-31 08:51:00,2025-07-31,23571.75,23610.5,23571.25,23572.0,23612.5,23490.25,23490.25,2025-07-31 09:16:00,win,40.75,81.5,2.0,88.5,-12.75
step1_market,2025-07-31 09:10:00,2025-07-31 09:11:00,2025-07-31,23530.25,23550.75,23527.25,23530.5,23552.75,23485.25,23485.25,2025-07-31 09:16:00,win,22.5,45.0,2.0,47.0,-6.0
step1_market,2025-08-05 08:31:00,2025-08-05 08:32:00,2025-08-05,23261.5,23283.0,23258.5,23262.5,23285.0,23214.5,23214.5,2025-08-05 08:42:00,win,23.5,47.0,2.0,58.25,-9.25
step1_market,2025-08-05 08:48:00,2025-08-05 08:49:00,2025-08-05,23143.0,23177.0,23140.0,23142.5,23179.0,23071.0,23179.0,2025-08-05 08:53:00,loss,36.0,-36.0,-1.0,4.75,-37.0
step1_market,2025-08-07 08:30:00,2025-08-07 08:31:00,2025-08-07,23550.5,23577.5,23544.0,23549.5,23579.5,23492.5,23579.5,2025-08-07 08:39:00,loss,29.0,-29.0,-1.0,10.25,-30.5
step1_market,2025-08-07 08:46:00,2025-08-07 08:47:00,2025-08-07,23561.0,23589.25,23553.0,23560.5,23591.25,23500.5,23500.5,2025-08-07 09:27:00,win,30.25,60.5,2.0,61.25,-18.5
step1_market,2025-08-07 08:55:00,2025-08-07 08:56:00,2025-08-07,23520.75,23552.75,23520.0,23520.5,23554.75,23452.75,23554.75,2025-08-07 09:00:00,loss,34.0,-34.0,-1.0,4.75,-36.5
step1_market,2025-08-07 09:15:00,2025-08-07 09:16:00,2025-08-07,23505.75,23529.0,23502.5,23505.75,23531.0,23455.25,23531.0,2025-08-07 09:16:00,loss,25.25,-25.25,-1.0,1.75,-29.25
step1_market,2025-08-07 09:25:00,2025-08-07 09:26:00,2025-08-07,23525.75,23555.25,23524.5,23525.5,23557.25,23462.75,23462.75,2025-08-07 10:03:00,win,31.5,63.0,2.0,63.5,-5.25
step1_market,2025-08-07 10:37:00,2025-08-07 10:38:00,2025-08-07,23477.75,23496.5,23477.25,23477.25,23498.5,23436.25,23436.25,2025-08-07 10:41:00,win,20.75,41.5,2.0,52.75,-1.5
step1_market,2025-08-07 10:40:00,2025-08-07 10:41:00,2025-08-07,23445.75,23468.0,23444.0,23446.0,23470.0,23397.25,23397.25,2025-08-07 10:46:00,win,24.25,48.5,2.0,55.75,-5.75
step1_market,2025-08-07 10:41:00,2025-08-07 10:42:00,2025-08-07,23425.5,23451.5,23425.0,23425.75,23453.5,23369.5,23453.5,2025-08-07 10:51:00,loss,28.0,-28.0,-1.0,35.5,-33.0
step1_market,2025-08-07 10:43:00,2025-08-07 10:44:00,2025-08-07,23409.5,23435.5,23409.5,23410.0,23437.5,23353.5,23437.5,2025-08-07 10:50:00,loss,28.0,-28.0,-1.0,19.5,-37.75
step1_market,2025-08-07 10:46:00,2025-08-07 10:47:00,2025-08-07,23391.75,23417.75,23390.0,23391.25,23419.75,23335.75,23419.75,2025-08-07 10:49:00,loss,28.0,-28.0,-1.0,0.5,-37.75
step1_market,2025-08-07 11:02:00,2025-08-07 11:03:00,2025-08-07,23452.75,23481.5,23443.0,23453.5,23483.5,23391.25,23391.25,2025-08-07 11:31:00,win,30.75,61.5,2.0,64.75,-12.0
