stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_deep_retrace,2025-10-15 10:45:00,2025-10-15 10:49:00,2025-10-15,24932.19,24938.5,24913.25,24917.0,4,24940.5,24915.56,24915.56,2025-10-15 10:50:00,win,8.31,16.62,2.0,23.19,-3.81
step1_2_deep_retrace,2025-10-16 09:30:00,2025-10-16 09:32:00,2025-10-16,25029.19,25038.25,25002.0,25005.25,2,25040.25,25007.06,25040.25,2025-10-16 09:32:00,loss,11.06,-11.06,-1.0,18.44,-11.81
step1_2_deep_retrace,2025-10-16 10:32:00,2025-10-16 10:35:00,2025-10-16,24808.12,24825.5,24756.0,24759.0,3,24827.5,24769.38,24769.38,2025-10-16 10:35:00,win,19.38,38.75,2.0,42.62,-18.88
step1_2_deep_retrace,2025-10-17 11:21:00,2025-10-17 11:22:00,2025-10-17,24855.12,24863.5,24830.0,24830.5,1,24865.5,24834.38,24865.5,2025-10-17 11:22:00,loss,10.38,-10.38,-1.0,26.12,-17.12
step1_2_deep_retrace,2025-10-28 09:03:00,2025-10-28 09:06:00,2025-10-28,26048.38,26053.0,26034.5,26034.75,3,26055.0,26035.12,26055.0,2025-10-28 09:08:00,loss,6.62,-6.62,-1.0,7.62,-8.38
step1_2_deep_retrace,2025-10-29 08:49:00,2025-10-29 08:51:00,2025-10-29,26270.94,26274.75,26259.5,26260.75,2,26276.75,26259.31,26259.31,2025-10-29 08:51:00,win,5.81,11.62,2.0,19.94,-4.31
step1_2_deep_retrace,2025-10-29 09:10:00,2025-10-29 09:13:00,2025-10-29,26256.5,26262.0,26240.0,26243.0,3,26264.0,26241.5,26241.5,2025-10-29 09:15:00,win,7.5,15.0,2.0,18.5,-4.75
step1_2_deep_retrace,2025-10-29 09:15:00,2025-10-29 09:17:00,2025-10-29,26251.12,26255.5,26238.0,26240.0,2,26257.5,26238.38,26257.5,2025-10-29 09:18:00,loss,6.38,-6.38,-1.0,5.12,-10.62
step1_2_deep_retrace,2025-10-29 09:37:00,2025-10-29 09:38:00,2025-10-29,26240.0,26243.5,26229.5,26230.5,1,26245.5,26229.0,26245.5,2025-10-29 09:39:00,loss,5.5,-5.5,-1.0,10.25,-5.75
step1_2_deep_retrace,2025-10-29 09:47:00,2025-10-29 09:49:00,2025-10-29,26238.19,26242.25,26226.0,26228.25,2,26244.25,26226.06,26244.25,2025-10-29 09:49:00,loss,6.06,-6.06,-1.0,7.44,-10.31
step1_2_deep_retrace,2025-10-29 09:50:00,2025-10-29 09:53:00,2025-10-29,26245.19,26249.25,26233.0,26233.25,3,26251.25,26233.06,26233.06,2025-10-29 09:56:00,win,6.06,12.12,2.0,18.69,-4.31
step1_2_deep_retrace,2025-10-29 10:04:00,2025-10-29 10:08:00,2025-10-29,26225.56,26229.75,26213.0,26213.75,4,26231.75,26213.19,26213.19,2025-10-29 10:09:00,win,6.19,12.38,2.0,14.81,-5.44
step1_2_deep_retrace,2025-10-29 10:09:00,2025-10-29 10:14:00,2025-10-29,26225.94,26231.0,26210.75,26213.5,5,26233.0,26211.81,26233.0,2025-10-29 10:20:00,loss,7.06,-7.06,-1.0,5.94,-12.56
step1_2_deep_retrace,2025-10-31 10:00:00,2025-10-31 10:04:00,2025-10-31,26043.56,26053.0,26015.25,26022.0,4,26055.0,26020.69,26020.69,2025-10-31 10:09:00,win,11.44,22.88,2.0,36.06,-9.94
step1_2_deep_retrace,2025-11-04 10:40:00,2025-11-04 10:41:00,2025-11-04,25780.38,25788.25,25756.75,25758.5,1,25790.25,25760.62,25760.62,2025-11-04 10:41:00,win,9.88,19.75,2.0,24.62,-1.12
step1_2_deep_retrace,2025-11-04 10:56:00,2025-11-04 10:59:00,2025-11-04,25757.12,25767.25,25726.75,25730.0,3,25769.25,25732.88,25732.88,2025-11-04 11:01:00,win,12.12,24.25,2.0,30.12,-0.62
step1_2_deep_retrace,2025-11-04 11:19:00,2025-11-04 11:22:00,2025-11-04,25680.06,25688.75,25654.0,25655.0,3,25690.75,25658.69,25690.75,2025-11-04 11:23:00,loss,10.69,-10.69,-1.0,10.56,-25.69
step1_2_deep_retrace,2025-11-05 08:34:00,2025-11-05 08:37:00,2025-11-05,25532.0,25542.5,25500.5,25501.5,3,25544.5,25507.0,25507.0,2025-11-05 08:37:00,win,12.5,25.0,2.0,37.25,-11.75
step1_2_deep_retrace,2025-11-06 08:41:00,2025-11-06 08:42:00,2025-11-06,25613.56,25622.75,25586.0,25597.75,1,25624.75,25591.19,25591.19,2025-11-06 08:42:00,win,11.19,22.38,2.0,22.81,-0.69
step1_2_deep_retrace,2025-11-06 10:55:00,2025-11-06 11:00:00,2025-11-06,25260.38,25270.75,25229.25,25233.25,5,25272.75,25235.62,25235.62,2025-11-06 11:00:00,win,12.38,24.75,2.0,40.12,-2.88
step1_2_deep_retrace,2025-11-10 10:00:00,2025-11-10 10:03:00,2025-11-10,25517.19,25525.25,25493.0,25501.75,3,25527.25,25497.06,25497.06,2025-11-10 10:03:00,win,10.06,20.12,2.0,20.94,-1.56
step1_2_deep_retrace,2025-11-11 09:06:00,2025-11-11 09:08:00,2025-11-11,25582.38,25595.0,25544.5,25548.25,2,25597.0,25553.12,25597.0,2025-11-11 09:10:00,loss,14.62,-14.62,-1.0,23.12,-15.12
step1_2_deep_retrace,2025-11-12 08:34:00,2025-11-12 08:35:00,2025-11-12,25689.94,25695.25,25674.0,25678.5,1,25697.25,25675.31,25697.25,2025-11-12 08:35:00,loss,7.31,-7.31,-1.0,17.44,-15.06
