stage,signal_time,entry_time,date,entry,signal_high,signal_low,signal_close,retrace_fill_bars,stop,target,exit_price,exit_time,outcome,risk_points,pnl_points,rr,mfe,mae
step1_2_3_continuation,2026-01-08 08:38:00,2026-01-08 08:39:00,2026-01-08,25706.19,25715.5,25678.25,25688.5,1,25717.5,25683.56,25683.56,2026-01-08 08:39:00,win,11.31,22.62,2.0,29.94,-1.81
step1_2_3_continuation,2026-01-08 08:42:00,2026-01-08 08:47:00,2026-01-08,25669.25,25683.5,25626.5,25638.75,5,25685.5,25636.75,25636.75,2026-01-08 08:50:00,win,16.25,32.5,2.0,43.0,-7.0
step1_2_3_continuation,2026-01-09 08:48:00,2026-01-09 08:53:00,2026-01-09,25745.38,25764.75,25687.25,25688.0,5,25766.75,25702.62,25702.62,2026-01-09 08:53:00,win,21.38,42.75,2.0,50.62,-3.88
step1_2_3_continuation,2026-01-13 09:48:00,2026-01-13 09:50:00,2026-01-13,25840.31,25848.5,25815.75,25820.0,2,25850.5,25819.94,25819.94,2026-01-13 09:50:00,win,10.19,20.38,2.0,29.06,-4.44
step1_2_3_continuation,2026-01-15 09:46:00,2026-01-15 09:47:00,2026-01-15,25844.88,25853.5,25819.0,25827.25,1,25855.5,25823.62,25823.62,2026-01-15 09:48:00,win,10.62,21.25,2.0,28.38,-5.12
step1_2_3_continuation,2026-01-16 08:59:00,2026-01-16 09:03:00,2026-01-16,25748.75,25756.25,25726.25,25728.5,4,25758.25,25729.75,25729.75,2026-01-16 09:03:00,win,9.5,19.0,2.0,27.25,-0.5
step1_2_3_continuation,2026-01-21 11:12:00,2026-01-21 11:17:00,2026-01-21,25193.38,25202.25,25166.75,25167.75,5,25204.25,25171.62,25171.62,2026-01-21 11:17:00,win,10.88,21.75,2.0,28.62,-1.38
step1_2_3_continuation,2026-01-22 09:17:00,2026-01-22 09:18:00,2026-01-22,25566.88,25576.75,25537.25,25543.0,1,25578.75,25543.12,25543.12,2026-01-22 09:18:00,win,11.88,23.75,2.0,25.88,-2.62
step1_2_3_continuation,2026-01-28 09:34:00,2026-01-28 09:36:00,2026-01-28,26215.44,26222.5,26194.25,26195.75,2,26224.5,26197.31,26197.31,2026-01-28 09:36:00,win,9.06,18.12,2.0,18.94,-3.56
step1_2_3_continuation,2026-01-30 10:21:00,2026-01-30 10:23:00,2026-01-30,25781.56,25790.5,25754.75,25758.5,2,25792.5,25759.69,25759.69,2026-01-30 10:23:00,win,10.94,21.88,2.0,23.06,-0.94
step1_2_3_continuation,2026-02-04 08:31:00,2026-02-04 08:33:00,2026-02-04,25295.62,25309.5,25254.0,25265.5,2,25311.5,25263.88,25263.88,2026-02-04 08:33:00,win,15.88,31.75,2.0,45.38,-5.12
step1_2_3_continuation,2026-02-05 08:30:00,2026-02-05 08:32:00,2026-02-05,24750.56,24770.25,24691.5,24712.5,2,24772.25,24707.19,24707.19,2026-02-05 08:32:00,win,21.69,43.38,2.0,98.56,-9.94
step1_2_3_continuation,2026-02-06 09:12:00,2026-02-06 09:17:00,2026-02-06,24837.44,24852.25,24793.0,24796.75,5,24854.25,24803.81,24803.81,2026-02-06 09:17:00,win,16.81,33.62,2.0,39.94,-2.81
step1_2_3_continuation,2026-02-06 09:23:00,2026-02-06 09:25:00,2026-02-06,24881.25,24905.0,24810.0,24819.0,2,24907.0,24829.75,24829.75,2026-02-06 09:25:00,win,25.75,51.5,2.0,55.25,-9.25
step1_2_3_continuation,2026-02-10 10:09:00,2026-02-10 10:10:00,2026-02-10,25374.12,25382.0,25350.5,25350.75,1,25384.0,25354.38,25354.38,2026-02-10 10:10:00,win,9.88,19.75,2.0,23.12,-4.38
step1_2_3_continuation,2026-02-10 10:22:00,2026-02-10 10:23:00,2026-02-10,25358.06,25367.0,25331.25,25336.75,1,25369.0,25336.19,25336.19,2026-02-10 10:23:00,win,10.94,21.88,2.0,24.31,-5.94
step1_2_3_continuation,2026-02-12 09:08:00,2026-02-12 09:10:00,2026-02-12,25207.25,25218.75,25172.75,25177.0,2,25220.75,25180.25,25180.25,2026-02-12 09:12:00,win,13.5,27.0,2.0,28.75,-10.75
step1_2_3_continuation,2026-02-16 08:36:00,2026-02-16 08:38:00,2026-02-16,24754.19,24760.25,24736.0,24736.75,2,24762.25,24738.06,24738.06,2026-02-16 08:39:00,win,8.06,16.12,2.0,24.19,-1.56
step1_2_3_continuation,2026-02-16 09:44:00,2026-02-16 09:45:00,2026-02-16,24697.94,24703.0,24682.75,24686.0,1,24705.0,24683.81,24683.81,2026-02-16 09:45:00,win,7.06,14.12,2.0,19.44,-3.56
step1_2_3_continuation,2026-02-17 11:22:00,2026-02-17 11:24:00,2026-02-17,24700.19,24710.75,24668.5,24671.25,2,24712.75,24675.06,24675.06,2026-02-17 11:24:00,win,12.56,25.12,2.0,27.19,-3.31
step1_2_3_continuation,2026-02-18 08:34:00,2026-02-18 08:35:00,2026-02-18,24799.31,24810.5,24765.75,24767.75,1,24812.5,24772.94,24772.94,2026-02-18 08:35:00,win,13.19,26.38,2.0,43.56,-6.94
step1_2_3_continuation,2026-02-19 08:35:00,2026-02-19 08:39:00,2026-02-19,24827.38,24838.0,24795.5,24806.5,4,24840.0,24802.12,24802.12,2026-02-19 08:40:00,win,12.62,25.25,2.0,39.62,-9.38
step1_2_3_continuation,2026-02-26 08:45:00,2026-02-26 08:46:00,2026-02-26,25253.19,25266.0,25214.75,25230.25,1,25268.0,25223.56,25223.56,2026-02-26 08:48:00,win,14.81,29.62,2.0,39.94,-11.06
step1_2_3_continuation,2026-02-27 11:22:00,2026-02-27 11:23:00,2026-02-27,24921.06,24928.0,24900.25,24903.25,1,24930.0,24903.19,24903.19,2026-02-27 11:23:00,win,8.94,17.88,2.0,20.06,-6.44
step1_2_3_continuation,2026-03-06 11:25:00,2026-03-06 11:29:00,2026-03-06,24832.75,24843.0,24802.0,24806.0,4,24845.0,24808.25,24808.25,2026-03-06 11:31:00,win,12.25,24.5,2.0,30.25,-1.0
step1_2_3_continuation,2026-03-13 08:35:00,2026-03-13 08:37:00,2026-03-13,24678.81,24691.25,24641.5,24643.25,2,24693.25,24649.94,24649.94,2026-03-13 08:37:00,win,14.44,28.88,2.0,36.31,-6.94
step1_2_3_continuation,2026-03-13 10:13:00,2026-03-13 10:15:00,2026-03-13,24448.44,24462.0,24407.75,24412.5,2,24464.0,24417.31,24417.31,2026-03-13 10:17:00,win,15.56,31.12,2.0,31.44,-0.31
step1_2_3_continuation,2026-03-16 08:47:00,2026-03-16 08:48:00,2026-03-16,24658.12,24667.5,24630.0,24632.5,1,24669.5,24635.38,24635.38,2026-03-16 08:48:00,win,11.38,22.75,2.0,25.62,-4.12
step1_2_3_continuation,2026-03-18 10:35:00,2026-03-18 10:36:00,2026-03-18,24848.75,24854.75,24830.75,24831.5,1,24856.75,24832.75,24832.75,2026-03-18 10:36:00,win,8.0,16.0,2.0,16.75,-1.0
step1_2_3_continuation,2026-03-18 11:01:00,2026-03-18 11:04:00,2026-03-18,24830.88,24838.5,24808.0,24814.0,3,24840.5,24811.62,24811.62,2026-03-18 11:09:00,win,9.62,19.25,2.0,21.38,-7.38
step1_2_3_continuation,2026-03-20 09:16:00,2026-03-20 09:17:00,2026-03-20,24295.75,24304.75,24268.75,24272.75,1,24306.75,24273.75,24273.75,2026-03-20 09:17:00,win,11.0,22.0,2.0,23.25,0.0
step1_2_3_continuation,2026-03-20 11:05:00,2026-03-20 11:08:00,2026-03-20,24273.38,24289.25,24225.75,24231.25,3,24291.25,24237.62,24237.62,2026-03-20 11:17:00,win,17.88,35.75,2.0,36.12,-9.88
step1_2_3_continuation,2026-03-23 10:29:00,2026-03-23 10:31:00,2026-03-23,24348.62,24362.0,24308.5,24317.5,2,24364.0,24317.88,24317.88,2026-03-23 10:31:00,win,15.38,30.75,2.0,32.12,-1.88
step1_2_3_continuation,2026-03-26 10:16:00,2026-03-26 10:18:00,2026-03-26,24063.12,24069.25,24044.75,24046.25,2,24071.25,24046.88,24046.88,2026-03-26 10:18:00,win,8.12,16.25,2.0,29.62,-7.62
step1_2_3_continuation,2026-03-27 10:37:00,2026-03-27 10:41:00,2026-03-27,23468.69,23474.25,23452.0,23459.25,4,23476.25,23453.56,23453.56,2026-03-27 10:41:00,win,7.56,15.12,2.0,17.44,-2.81
step1_2_3_continuation,2026-03-30 08:35:00,2026-03-30 08:40:00,2026-03-30,23325.94,23334.5,23300.25,23301.75,5,23336.5,23304.81,23304.81,2026-03-30 08:41:00,win,10.56,21.12,2.0,45.69,-6.06
step1_2_3_continuation,2026-03-30 11:04:00,2026-03-30 11:05:00,2026-03-30,23276.0,23281.5,23259.5,23263.5,1,23283.5,23261.0,23261.0,2026-03-30 11:05:00,win,7.5,15.0,2.0,15.25,-4.0
step1_2_3_continuation,2026-04-06 11:12:00,2026-04-06 11:17:00,2026-04-06,24254.94,24265.75,24222.5,24224.0,5,24267.75,24229.31,24229.31,2026-04-06 11:18:00,win,12.81,25.62,2.0,27.44,-3.81
step1_2_3_continuation,2026-04-10 10:20:00,2026-04-10 10:22:00,2026-04-10,25286.06,25291.25,25270.5,25272.75,2,25293.25,25271.69,25271.69,2026-04-10 10:22:00,win,7.19,14.38,2.0,14.56,-0.19
step1_2_3_continuation,2026-04-21 09:35:00,2026-04-21 09:40:00,2026-04-21,26732.81,26740.0,26711.25,26718.25,5,26742.0,26714.44,26714.44,2026-04-21 09:41:00,win,9.19,18.38,2.0,23.06,-0.94
step1_2_3_continuation,2026-04-21 10:20:00,2026-04-21 10:22:00,2026-04-21,26742.5,26748.5,26724.5,26730.75,2,26750.5,26726.5,26726.5,2026-04-21 10:23:00,win,8.0,16.0,2.0,26.0,-0.75
step1_2_3_continuation,2026-04-23 10:04:00,2026-04-23 10:08:00,2026-04-23,27063.94,27070.25,27045.0,27046.75,4,27072.25,27047.31,27047.31,2026-04-23 10:09:00,win,8.31,16.62,2.0,19.69,-1.81
step1_2_3_continuation,2026-04-29 10:19:00,2026-04-29 10:21:00,2026-04-29,27222.81,27228.0,27207.25,27210.25,2,27230.0,27208.44,27208.44,2026-04-29 10:28:00,win,7.19,14.38,2.0,17.56,-6.69
step1_2_3_continuation,2026-04-29 11:03:00,2026-04-29 11:04:00,2026-04-29,27185.06,27189.5,27171.75,27172.25,1,27191.5,27172.19,27172.19,2026-04-29 11:04:00,win,6.44,12.88,2.0,15.06,-2.94
step1_2_3_continuation,2026-05-04 09:21:00,2026-05-04 09:22:00,2026-05-04,27757.31,27771.0,27716.25,27723.25,1,27773.0,27725.94,27725.94,2026-05-04 09:22:00,win,15.69,31.38,2.0,45.81,-7.19
step1_2_3_continuation,2026-05-07 10:15:00,2026-05-07 10:17:00,2026-05-07,28684.62,28700.5,28637.0,28656.75,2,28702.5,28648.88,28648.88,2026-05-07 10:20:00,win,17.88,35.75,2.0,37.12,-10.62
step1_2_3_continuation,2026-05-07 11:26:00,2026-05-07 11:28:00,2026-05-07,28619.25,28634.25,28574.25,28583.75,2,28636.25,28585.25,28585.25,2026-05-07 11:28:00,win,17.0,34.0,2.0,50.0,-7.0
