signal_time,entry_time,trade_date,year,month,hour,minute,side,entry_price,stop_price,target_price,risk_points,result_points,result_rr,exit_reason,bars_held,fill_bars,mfe_points,mae_points,signal_high,signal_low,signal_close,range_expansion,rel_volume
2023-02-14T08:31:00.000000,2023-02-14T08:32:00.000000,2023-02-14,2023,2023-02,8,32,short,12423.0,12434.75,12399.5,11.75,23.5,2.0,target,1,1,32.5,-3.75,12432.75,12393.75,12400.25,2.1414,3.6723
2023-03-08T09:01:00.000000,2023-03-08T09:02:00.000000,2023-03-08,2023,2023-03,9,2,short,12130.0,12139.25,12111.5,9.25,-9.25,-1.0,stop_same_bar,1,1,18.75,-22.0,12137.25,12108.25,12118.0,1.8846,3.8472
2023-05-19T09:15:00.000000,2023-05-19T09:16:00.000000,2023-05-19,2023,2023-05,9,16,short,13876.12,13884.5,13859.38,8.38,16.75,2.0,target,1,1,19.12,-1.38,13882.5,13857.0,13857.0,2.1272,1.7962
2024-01-30T09:01:00.000000,2024-01-30T09:02:00.000000,2024-01-30,2024,2024-01,9,2,short,17637.88,17647.0,17619.62,9.12,18.25,2.0,target,1,1,18.38,-3.38,17645.0,17616.5,17622.25,2.8536,3.3874
2024-02-15T08:44:00.000000,2024-02-15T08:45:00.000000,2024-02-15,2024,2024-02,8,45,short,17857.19,17865.5,17840.56,8.31,-8.31,-1.0,stop,3,1,16.19,-10.56,17863.5,17838.25,17845.75,1.7177,1.3931
2024-02-23T10:13:00.000000,2024-02-23T10:14:00.000000,2024-02-23,2024,2024-02,10,14,short,17967.0,17975.75,17949.5,8.75,17.5,2.0,target,1,1,21.0,-5.25,17973.75,17946.75,17948.0,1.7881,1.3393
2024-07-23T10:57:00.000000,2024-07-23T10:58:00.000000,2024-07-23,2024,2024-07,10,58,short,19946.56,19955.25,19929.19,8.69,-8.69,-1.0,stop,3,1,12.81,-10.94,19953.25,19926.5,19935.25,2.0246,3.2345
2024-08-08T10:58:00.000000,2024-08-08T10:59:00.000000,2024-08-08,2024,2024-08,10,59,short,18408.25,18416.5,18391.75,8.25,16.5,2.0,target,1,1,17.5,-4.0,18414.5,18389.5,18393.75,1.6863,1.3504
2024-08-22T08:49:00.000000,2024-08-22T08:50:00.000000,2024-08-22,2024,2024-08,8,50,short,19881.5,19892.5,19859.5,11.0,-11.0,-1.0,stop,6,1,21.0,-11.75,19890.5,19854.5,19864.25,2.0809,1.9103
2024-09-17T10:23:00.000000,2024-09-17T10:24:00.000000,2024-09-17,2024,2024-09,10,24,short,19667.12,19677.0,19647.38,9.88,19.75,2.0,target,1,1,25.88,-0.12,19675.0,19643.5,19649.5,2.2601,3.0998
