label,trades,wins,losses,winrate,net_points,avg_trade,profit_factor,max_dd,first_trade,last_trade
dist_vwap_lt_q70_-32.97582,36,29,7,80.56,509.61,14.16,10.18,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_lt_q40_-66.45926,20,16,4,80.0,324.11,16.21,10.09,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_vwap_lt_q40_-66.45926,20,16,4,80.0,324.11,16.21,10.09,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
atr_14_gt_q30_12.60714,36,29,7,80.56,522.07,14.5,9.84,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
atr_14_gt_q40_13.44643,31,25,6,80.65,456.88,14.74,9.74,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
dist_vwap_day_lt_q80_-17.66029,41,33,8,80.49,558.55,13.62,9.7,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_lt_q80_-17.66029,41,33,8,80.49,558.55,13.62,9.7,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_or_low_30m_gt_q25_-34.75,38,31,7,81.58,509.57,13.41,9.5,-23.94,2020-02-21 08:50:00,2026-03-18 10:36:00
premarket_range_lt_q70_131.5,36,29,7,80.56,468.38,13.01,9.31,-15.5,2018-10-12 10:09:00,2026-02-18 08:35:00
range_expansion_20_gt_q40_1.72131,31,25,6,80.65,427.31,13.78,9.31,-17.13,2018-10-12 10:09:00,2026-03-18 10:36:00
or_range_30m_gt_q60_124.0,20,16,4,80.0,303.02,15.15,9.27,-15.5,2021-11-09 10:14:00,2026-03-16 08:48:00
risk_points_gt_q50_8.44,25,20,5,80.0,398.39,15.94,9.15,-21.69,2020-02-21 08:50:00,2026-03-16 08:48:00
range_expansion_20_gt_q60_1.88347,20,16,4,80.0,284.74,14.24,9.11,-17.13,2018-10-12 10:09:00,2026-02-18 08:35:00
premarket_range_gt_q25_64.25,38,30,8,78.95,518.51,13.64,9.08,-20.06,2020-03-20 10:10:00,2026-03-18 10:36:00
premarket_range_lt_q60_114.25,31,25,6,80.65,401.82,12.96,9.07,-15.5,2018-10-12 10:09:00,2026-02-18 08:35:00
prior_day_range_gt_q60_247.5,20,16,4,80.0,310.5,15.53,9.06,-21.69,2020-03-20 10:10:00,2026-03-16 08:48:00
dist_vwap_lt_q75_-25.81732,38,30,8,78.95,514.04,13.53,9.01,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_vwap_day_lt_q75_-25.81732,38,30,8,78.95,514.04,13.53,9.01,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_pdh_lt_q75_-39.5,38,30,8,78.95,505.01,13.29,8.97,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_dol_lt_q75_21.0,38,30,8,78.95,510.81,13.44,8.96,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_or_low_30m_gt_q60_19.5,20,16,4,80.0,264.76,13.24,8.9,-15.5,2021-11-10 08:38:00,2026-03-16 08:48:00
body_pct_gt_q60_0.87963,20,16,4,80.0,254.3,12.71,8.87,-13.5,2018-10-12 10:09:00,2026-03-18 10:36:00
atr_14_gt_q25_12.05357,38,30,8,78.95,527.63,13.88,8.82,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
minute_gte_35,28,22,6,78.57,374.33,13.37,8.71,-16.88,2020-02-21 08:50:00,2026-03-18 10:36:00
has_fomc_true,25,20,5,80.0,305.5,12.22,8.69,-13.5,2018-10-12 10:09:00,2025-03-03 08:31:00
dist_pdh_lt_q80_-22.5,41,32,9,78.05,533.2,13.0,8.6,-16.88,2018-10-12 10:09:00,2026-03-18 10:36:00
dist_or_low_30m_gt_q50_14.0,25,20,5,80.0,328.33,13.13,8.58,-15.5,2020-12-02 08:41:00,2026-03-16 08:48:00
premarket_range_gt_q30_78.5,36,28,8,77.78,484.88,13.47,8.56,-20.06,2020-03-20 10:10:00,2026-03-18 10:36:00
premarket_range_lt_q50_106.75,26,21,5,80.77,326.13,12.54,8.56,-15.5,2018-10-12 10:09:00,2026-02-10 10:10:00
has_high_impact_usd_event_true,25,20,5,80.0,313.0,12.52,8.5,-11.31,2020-02-21 08:50:00,2025-03-03 08:31:00
